file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-01-01-01.wav,0 days,0 days 00:00:03.536854167,24.89813,0.117896825,22.419266,24.678062,28.138033,5.718767,214.87614,234.97748,32.9792,25.25974,0.087677546,1.3176192,0.0033764495,0.013323441,0.17805266,0.17467621,3.044426,1.7310314,1.7729124,1.0035516,0.04881056,1.0398289,1.5413704,1.0038435,3.8143134,0.8611991,4.1585236,0.8058556,24.042757,0.27955994,482.63318,0.4729585,1107.0029,0.23176137,-148.09882,-0.569964,1423.1592,0.18403336,-150.00296,-0.5337825,2431.1714,0.10309947,-152.13045,-0.50345355,-13.886099,-0.49754298,22.361008,0.37032315,0.07280826,0.352232,-0.0123499315,-0.8056604,-3.3775508,11.764252,0.062112257,0.010664028,2.840909,1.4409221,0.182,0.116172284,0.4083333,0.441717
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-01-02-01.wav,0 days,0 days 00:00:03.603583333,23.718445,0.10858385,21.636139,23.15695,25.684692,4.0485535,136.46872,111.717125,27.267048,5.8768983,0.089175306,1.3154569,0.0022099137,0.026123231,0.17492354,0.17271362,2.0636444,1.562447,1.9707421,1.1798254,0.05742424,0.9690072,1.2813882,0.7681017,3.5122838,0.87939924,3.0217757,1.4278816,24.185091,0.2567561,444.937,0.39173785,1132.8004,0.18879709,-135.71992,-0.65936726,1406.4851,0.17673202,-138.61801,-0.6082627,2401.7227,0.0974761,-141.66772,-0.56547505,-15.076423,-0.44320548,24.02501,0.3236611,0.06269487,0.4442209,-0.011186947,-0.7518251,-2.074193,10.352134,0.06885262,0.012082931,2.2284124,1.4124295,0.23200001,0.13905394,0.452,0.4453942
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,24.561493,0.2712408,22.148478,23.513922,25.099934,2.951456,525.56213,365.43732,31.187916,19.77031,0.12689193,1.2839752,0.0031251572,0.015381302,0.26417077,0.2610456,2.6158204,1.223521,2.1608102,0.99204904,0.032641187,0.7540191,1.5523082,0.7071354,3.9935462,0.60179293,3.277702,1.3834084,19.108938,0.55480206,483.48218,0.5067742,1137.8384,0.193011,-129.09415,-0.7113495,1411.932,0.22529316,-130.55458,-0.6755687,2449.9678,0.12875694,-133.31216,-0.6343996,-11.665205,-0.7213085,20.081944,0.50166714,0.05534926,0.42618924,-0.01116217,-0.8494756,-1.3060005,9.362514,0.055214725,0.0124471495,2.2922635,1.4534885,0.25,0.19401032,0.414,0.4461659
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-02-02-01.wav,0 days,0 days 00:00:03.470145833,23.421627,0.07158886,22.393826,23.624762,24.891598,2.4977722,150.53404,203.80754,35.221867,31.733042,0.12553363,1.2978244,0.004445479,0.0140622575,0.26471436,0.26026887,2.6319818,1.6037552,2.6470358,2.120679,0.023479562,1.0184029,1.2550797,0.84703845,3.9933443,0.7408113,3.751594,3.0738297,20.358839,0.62903255,460.50766,0.5197564,1153.5862,0.2213879,-130.49886,-0.70152056,1398.6884,0.20288502,-132.44162,-0.6615829,2435.7256,0.11843263,-135.44095,-0.6179645,-12.931984,-0.43720052,21.852444,0.31214213,0.054201454,0.3615628,-0.011140351,-0.8447644,-2.5031254,10.32765,0.052928347,0.010891256,2.0231214,0.87976545,0.41666666,0.14197026,0.5225,0.45860523
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-01-01-01.wav,0 days,0 days 00:00:03.703708333,22.426424,0.06941516,21.117373,22.197912,23.753294,2.6359215,267.23697,171.4775,17.181038,7.7708316,0.08178938,1.1778786,0.0023777408,0.03464575,0.16741937,0.16504164,1.6200033,1.0721326,1.7037736,0.87081265,0.027387176,0.784968,1.5945318,0.9243195,4.1637383,0.5376625,0.5784656,7.8602386,20.233025,0.2931436,433.2059,0.4099411,1128.6444,0.2260323,-134.88844,-0.65856653,1370.4344,0.1686227,-137.73015,-0.6100803,2355.5444,0.09763233,-140.0842,-0.57632494,-14.995341,-0.47834083,23.308058,0.3592094,0.046256274,0.66084236,-0.011939195,-0.7861875,-2.7020218,10.687676,0.06761725,0.011312352,2.4390244,1.3736265,0.24599999,0.15081114,0.38333333,0.43808928
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-01-02-01.wav,0 days,0 days 00:00:04.004000,23.797808,0.08482495,22.312828,23.383528,25.891163,3.5783348,185.2577,217.35416,36.397556,16.843372,0.090337835,1.0665548,0.0028981583,0.07102201,0.17346191,0.17056376,2.2794533,1.7774528,1.5814692,0.8577384,0.03942174,1.1061649,1.230915,1.0234916,3.897789,0.7754476,0.6708947,8.54836,20.575293,0.35609418,429.06985,0.42778525,1184.4445,0.21979527,-141.13885,-0.6131291,1324.6455,0.15432471,-143.95082,-0.5684082,2321.3232,0.08686032,-146.43575,-0.53359836,-15.016877,-0.48568788,23.327948,0.3272485,0.057250574,0.43534014,-0.012905583,-0.77630824,-1.2532575,8.503889,0.06636746,0.010208015,2.255639,1.5228428,0.19666666,0.12565385,0.3757143,0.400102
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-02-01-01.wav,0 days,0 days 00:00:04.204208333,26.643513,0.31877387,23.912548,24.873695,25.656538,1.74399,259.9311,185.36732,31.705374,19.714018,0.112091206,1.0329807,0.0039854115,0.0797612,0.23009667,0.22611126,2.1242347,0.9680224,1.6590341,1.0573457,0.03659651,1.5425798,1.2550304,0.8863505,4.6187696,0.72700423,4.844042,0.79007006,22.471722,0.50102305,428.00537,0.386762,1142.6215,0.19501872,-128.56166,-0.7140522,1345.6351,0.18246347,-130.14676,-0.6701993,2395.8894,0.11056162,-131.75937,-0.6388577,-12.430011,-0.90147483,21.078375,0.58954823,0.056742106,0.44538483,-0.010874443,-0.94215333,-0.6145685,8.583942,0.06280923,0.011000798,2.3866348,1.4492754,0.26,0.115614295,0.40666667,0.42870608
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-02-02-01.wav,0 days,0 days 00:00:04.004000,24.159096,0.23480657,21.787703,23.764791,24.952503,3.1648006,363.3441,271.46234,42.388256,15.491003,0.11728331,1.134379,0.0028299876,0.06600206,0.22367284,0.22084285,2.0628812,1.2190664,1.6818967,0.9270678,0.044614013,1.0605701,1.865817,0.8285559,3.8270814,0.8428603,2.9310446,4.0750475,19.785566,0.33964774,469.98428,0.41568217,1118.397,0.19802631,-131.19687,-0.69239944,1407.6373,0.18612407,-132.57216,-0.6537506,2429.202,0.10938181,-134.9501,-0.61530614,-12.901037,-0.59555006,21.873209,0.38606772,0.051627878,0.42956874,-0.010342828,-0.89469796,1.3224288,6.557599,0.06840744,0.013579277,2.255639,1.5228428,0.235,0.19024107,0.3983333,0.45130983
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-02-01-01-01-02.wav,0 days,0 days 00:00:03.837166667,36.131187,0.11458767,34.079807,37.071976,38.598137,4.5183296,132.37675,106.29849,12.504473,6.42342,0.14994569,1.3780724,0.0074897422,0.04703311,0.25082353,0.24333379,3.5711017,2.1989,3.582346,2.3116739,0.03813389,1.8424596,1.1988794,0.8424436,8.48677,0.53552765,6.7969704,1.4594057,21.11165,0.4482378,596.1369,0.3413829,1217.0575,0.20747322,-139.0979,-0.62950397,1639.6947,0.17411849,-135.55719,-0.62942445,2704.169,0.1038422,-138.3238,-0.5890041,-11.376105,-0.81313497,22.970682,0.45790964,0.10669992,0.25921977,-0.011992597,-1.1695524,-5.140197,12.611865,0.053520866,0.005776127,2.094241,1.591512,0.21499999,0.115722366,0.33571428,0.43203366
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-02-01-01-02-02.wav,0 days,0 days 00:00:04.004000,36.608963,0.08671823,33.346317,36.61196,39.451157,6.1048393,50.72234,62.53805,20.39175,5.8178606,0.1523423,1.2830024,0.0014975881,0.06224358,0.27027994,0.26878235,3.3549132,2.5695546,3.8280895,1.9753052,0.020026533,1.3111726,1.1988893,0.9478104,9.65886,0.41092712,4.8780584,1.8417367,20.0017,0.48327744,637.008,0.3694949,1189.9084,0.21845254,-133.19385,-0.6734914,1628.2137,0.16541405,-129.82832,-0.66881925,2759.2104,0.10965806,-132.38742,-0.62986887,-11.620098,-0.7861861,22.752338,0.4335044,0.10397421,0.23415685,-0.013933078,-1.0149661,-2.696217,10.447194,0.099133655,0.011898443,2.0050125,1.5228428,0.24666665,0.072724745,0.3866667,0.46129045
