file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-01-01-01.wav,0 days,0 days 00:00:03.870520833,30.351288,0.26794055,24.96743,27.43696,35.272305,10.304874,40.733772,174.21506,82.303505,15.530808,0.12358654,1.0284754,0.007125518,0.062405594,0.2619332,0.25480768,2.8231487,1.8139125,1.9145348,1.2703916,0.043929007,1.2125945,1.5920511,0.6591888,3.702181,1.3058171,5.7574677,1.0806627,23.790163,0.48361602,506.9553,0.49325556,1120.2251,0.2595915,-141.56174,-0.6178604,1476.0288,0.21835577,-139.5213,-0.5902955,2528.3062,0.115043215,-141.4278,-0.5612244,-14.054802,-0.8171818,22.142864,0.5405778,0.09182653,0.43302286,-0.012220218,-1.1974068,-0.5245511,10.065223,0.08281855,0.011652806,2.5906737,1.8372704,0.17285715,0.14359808,0.34857142,0.45542532
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-01-02-01.wav,0 days,0 days 00:00:03.903895833,31.656343,0.22253007,26.81316,30.585522,36.77354,9.960381,423.92676,334.08475,77.82208,32.24883,0.14230232,1.0650222,0.004728865,0.0753417,0.30491936,0.3001905,2.9381561,2.8955443,2.5996675,1.8049443,0.05612937,1.1807402,1.3885119,0.7438982,4.0257077,1.2593715,4.0755086,1.653605,22.601398,0.46846056,497.51508,0.46611485,1129.0228,0.22318259,-141.22235,-0.6193259,1485.7177,0.21586466,-138.21907,-0.6118225,2551.5137,0.123474926,-140.88611,-0.5729919,-12.408345,-0.7985783,22.169626,0.47332773,0.10362508,0.28335992,-0.010811529,-1.4483497,-0.3450795,8.814542,0.07485396,0.010549376,2.3136249,1.8229167,0.17571428,0.1592713,0.35,0.43074688
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-02-01-01.wav,0 days,0 days 00:00:03.903895833,25.106546,0.117814325,22.187475,25.62995,28.009125,5.8216496,123.06029,149.5484,25.57759,24.371893,0.1370895,1.1101936,0.0034988536,0.057516728,0.30236465,0.2988658,2.2287686,1.5391889,1.9162782,1.416321,0.059515566,0.99836826,1.261322,0.8253158,3.8513544,0.87281835,1.8977109,2.282804,21.54924,0.3029329,482.36362,0.4512379,1134.577,0.27217534,-132.46336,-0.6847738,1441.8685,0.2118805,-135.34529,-0.63666916,2453.621,0.12430313,-137.70631,-0.6022851,-12.911983,-0.58574784,21.533125,0.43368968,0.08327357,0.3909443,-0.012321251,-0.85232514,-1.4857002,10.340959,0.061307516,0.010416681,2.3136249,1.3020834,0.264,0.07939773,0.40166667,0.41993716
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-02-02-01.wav,0 days,0 days 00:00:03.837166667,26.67012,0.122121185,23.517033,27.08656,29.378498,5.8614655,259.92685,385.2096,11.537321,25.162298,0.13985592,1.2118393,0.002999682,0.037625507,0.28213346,0.27913377,1.9966689,1.6051816,2.3419323,2.2679427,0.045363843,1.0483402,1.1483887,0.86698925,4.479156,0.8625893,1.9694734,2.3451853,23.684967,0.2835166,551.40607,0.50192934,1092.7612,0.32181323,-136.60649,-0.65287465,1535.4272,0.2465611,-138.78796,-0.6136353,2587.4521,0.14804223,-141.4225,-0.574976,-12.614159,-0.59916097,21.22358,0.39748868,0.09173985,0.33759272,-0.014520456,-0.68229276,0.645847,8.266482,0.06002352,0.013306465,1.3089006,1.061008,0.31,0.16807735,0.48799998,0.4533167
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-01-01-01.wav,0 days,0 days 00:00:04.304291667,37.311768,0.17156301,33.614033,37.16919,40.856445,7.2424126,166.04816,110.842285,27.644745,39.788605,0.3654489,1.1223538,0.025374115,0.2156523,0.6378536,0.6124795,6.4887943,2.8551648,4.7918615,3.098194,0.035609666,1.1468258,1.0291687,0.73283136,6.3073754,0.89889055,6.6924596,1.8328363,21.285526,0.52708554,629.67487,0.42035013,1178.0066,0.2748542,-144.98288,-0.59362626,1628.4485,0.21895564,-130.47765,-0.6728954,2759.0132,0.16077176,-132.3673,-0.6389364,-10.245803,-0.99366015,22.826876,0.50803506,0.11960071,0.27084258,-0.01331259,-1.2191696,0.04822287,10.312152,0.08659428,0.00845139,2.3310022,1.4150944,0.26166666,0.18827432,0.36285713,0.4341071
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-01-02-01.wav,0 days,0 days 00:00:04.104104167,39.23914,0.19019954,34.14786,37.36927,42.879684,8.731823,313.8497,197.12192,409.33163,686.9056,0.3804132,1.1414746,0.011724265,0.16904736,0.7556221,0.7438978,9.586105,4.523191,7.069002,5.140757,0.048384726,1.3931677,1.3050202,0.6377128,5.5113354,1.1253335,8.894389,1.0679353,19.776787,0.6349322,639.8951,0.49500594,1118.2803,0.29413047,-147.88744,-0.5610055,1663.503,0.23164596,-126.643745,-0.68803877,2737.249,0.16529036,-128.17734,-0.6579733,-10.412472,-1.0064942,19.521433,0.6453223,0.12358783,0.2639553,-0.014880676,-0.9192959,2.6294746,5.8017898,0.09421223,0.009329992,2.9339855,1.2376238,0.322,0.290131,0.3866667,0.46280542
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-02-01-01.wav,0 days,0 days 00:00:04.037375,32.74417,0.19510156,29.825743,33.837498,38.16798,8.342237,179.98848,64.35314,64.61292,47.640488,0.3619721,1.2031771,0.010222677,0.18523057,0.7291986,0.7189759,5.209534,4.1109495,7.039611,4.777832,0.06662102,1.6319057,1.1272206,0.8345449,5.8356113,0.9272452,6.856448,2.6423159,22.502733,0.4017505,654.2806,0.52158254,1151.3269,0.26968464,-130.11212,-0.6954273,1691.9819,0.27058214,-121.717766,-0.73060024,2781.2773,0.19497514,-123.934525,-0.6959914,-12.27317,-0.7139889,21.196074,0.47775486,0.11423069,0.26849085,-0.017021095,-0.86519647,-2.836477,12.765712,0.069463685,0.0065666796,1.7412935,1.511335,0.275,0.1918984,0.3633333,0.34941223
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-02-02-01.wav,0 days,0 days 00:00:04.371020833,33.348736,0.2409258,29.005283,34.036617,39.35243,10.347145,103.96342,85.13599,144.2698,82.48447,0.34593722,1.20072,0.005807935,0.15762284,0.64213425,0.6363263,8.197987,5.576405,8.67104,4.578905,0.11105661,1.4461215,1.5831103,0.7847209,4.6579127,1.1243064,5.209307,1.6036733,20.638597,0.45383275,721.9536,0.47948295,1048.2699,0.33498326,-135.72603,-0.66490436,1754.2144,0.23629217,-126.37022,-0.70691615,2754.5925,0.14744784,-127.838104,-0.68391526,-12.113338,-0.6729379,20.905863,0.41630644,0.11793153,0.31634566,-0.013990951,-1.1144258,-0.5319578,9.947769,0.0662199,0.009858942,1.8348624,0.46403712,0.875,0.24499999,0.83666664,0.3209707
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-07-01-01-01-02.wav,0 days,0 days 00:00:03.670333333,34.398838,0.10527128,31.687395,34.9189,36.96876,5.2813663,128.41743,79.96845,73.413414,89.5447,0.16678928,1.2456585,0.0010339657,0.06887302,0.30556753,0.30453357,4.262943,3.434345,4.482605,2.7361934,0.06980805,0.9776831,1.7519011,0.7050173,3.6077726,1.6591552,7.7818074,1.5170709,17.0161,0.56696045,585.54095,0.4568154,1147.7915,0.27464917,-143.47923,-0.6012888,1620.083,0.17704362,-135.08765,-0.647906,2739.7517,0.13532032,-136.67865,-0.62219805,-9.444074,-0.9361632,20.337358,0.4426802,0.11986575,0.22393106,-0.011719218,-1.3679788,-0.5368905,9.402233,0.10217497,0.015239117,2.1857924,1.3850416,0.24399999,0.12815616,0.38,0.4657968
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-07-01-01-02-02.wav,0 days,0 days 00:00:03.636979167,32.16619,0.16999954,27.448502,33.886505,36.494614,9.046112,200.40211,113.3428,46.599506,30.358728,0.15918227,1.2969072,0.0010424419,0.030952621,0.2717041,0.27066165,6.661087,5.4123526,5.1919765,3.0150087,0.07427927,1.3226677,1.6944741,0.6903512,2.9445124,2.1963747,6.0160294,1.28813,17.326895,0.47530383,506.18085,0.44887316,1130.5162,0.21872325,-143.59175,-0.6104655,1553.0759,0.18683298,-135.61295,-0.64812475,2618.2317,0.12508322,-137.74307,-0.6151837,-9.452723,-0.9489977,19.736078,0.47005913,0.1244357,0.17794354,-0.01301935,-1.153179,0.17898075,8.110162,0.10769344,0.014278074,2.486188,1.4005603,0.234,0.10326665,0.38166666,0.45743546
