file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-01-01-01.wav,0 days,0 days 00:00:03.670333333,28.21954,0.10226121,26.74833,28.024853,30.861404,4.1130753,324.398,578.4071,39.98432,31.091639,0.2216454,1.2956479,0.0077142664,0.025245767,0.44263625,0.43492198,5.7809505,4.0397825,5.5690594,3.8313658,0.056165166,0.9570987,1.6431962,0.7749509,4.105167,1.0638555,2.0157275,2.115053,19.041624,0.34451163,535.8029,0.51308155,1190.2345,0.23406635,-127.324486,-0.7336993,1515.6768,0.21477905,-128.43687,-0.6916998,2532.1355,0.1370789,-130.08284,-0.666838,-12.0434265,-0.5230478,20.007347,0.37020636,0.0827118,0.36549833,-0.010945447,-0.9478831,-8.414615,17.014385,0.028478967,0.0051797107,2.4590166,0.83102494,0.4633333,0.41483596,0.53749996,0.48334122
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-01-02-01.wav,0 days,0 days 00:00:03.636979167,30.818577,0.08563284,29.07449,30.389648,33.460854,4.386364,242.5548,305.49008,25.73418,18.690063,0.2181091,1.2331127,0.009168976,0.027775295,0.4743709,0.4652019,4.3122225,2.9126563,4.902886,2.4352477,0.04641434,1.2847999,1.3459306,0.7236624,5.101473,0.673298,1.7907107,4.2873416,21.418898,0.32521588,505.38437,0.5214838,1176.552,0.22602178,-131.71602,-0.69314164,1498.6844,0.18911114,-127.33946,-0.6984949,2538.411,0.13243875,-129.713,-0.66283715,-11.586751,-0.48817873,20.028679,0.36480233,0.114624485,0.27806228,-0.009802973,-1.1209029,-1.4184366,9.872459,0.06587914,0.0111922305,2.2099447,1.1204482,0.345,0.2583118,0.42,0.45764613
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-02-01-01.wav,0 days,0 days 00:00:03.436770833,27.151882,0.27461925,23.392857,25.285574,28.071205,4.6783485,203.64034,140.52345,12.613351,33.937187,0.1939328,1.247822,0.00824305,0.02563379,0.41758084,0.4093378,5.2170143,3.954595,4.1109276,2.6494687,0.054788016,0.88785404,1.3867315,0.8727547,3.9416668,0.83156157,2.7377493,2.0213737,17.567627,0.82194465,508.72443,0.47230417,1193.193,0.2719917,-130.60028,-0.69676155,1472.7517,0.22599483,-129.8958,-0.6776585,2531.8364,0.14001842,-131.57591,-0.6540241,-10.537172,-0.81138086,18.194397,0.6077297,0.061551757,0.54866034,-0.011024513,-1.0053798,-9.101188,18.372608,0.019375859,0.007546556,2.3391814,1.1869437,0.315,0.13238202,0.5025,0.46756682
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-02-02-01.wav,0 days,0 days 00:00:03.703687500,27.1578,0.19074455,25.58751,26.391394,27.204054,1.6165447,211.11647,205.74493,155.21533,145.67426,0.19578671,1.2015579,0.005035008,0.04602575,0.3906085,0.38557348,4.741351,3.382483,4.2152333,3.227562,0.03297927,1.2885662,1.2169585,0.80626494,4.572038,0.7302836,2.1865985,4.5579596,19.668032,0.34587297,515.9865,0.46949878,1201.7123,0.21593821,-132.04074,-0.6974615,1478.6267,0.18717383,-131.87953,-0.67060715,2502.8105,0.1305787,-133.17126,-0.641627,-11.230277,-0.6985521,19.082146,0.4650819,0.07784333,0.34748784,-0.009617771,-1.0230983,-2.2530015,10.316654,0.043433677,0.008983211,2.4390244,1.0989012,0.33249998,0.34178755,0.444,0.44274595
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-01-01-01.wav,0 days,0 days 00:00:05.005000,35.42002,0.12237106,31.292658,35.64323,39.118298,7.8256397,35.6144,50.453476,41.44099,15.520784,0.51724195,1.2782469,0.06853002,0.1979415,0.8951099,0.82657987,13.204714,9.468379,11.270939,9.1847515,0.04006541,1.1184795,1.1645919,0.8088241,6.1767244,0.71469265,7.365534,0.9396887,16.666868,0.41747084,804.1584,0.3906105,1006.7934,0.30258143,-149.70811,-0.5484771,1839.6348,0.18982126,-142.96448,-0.5806516,2849.2847,0.12770061,-143.59138,-0.57229555,-8.643115,-0.7086031,16.608885,0.42294297,0.08133299,0.61430895,-0.008711079,-1.4379345,-1.1177577,11.999436,0.022038734,0.010847017,1.8036073,1.0121458,0.302,0.26880476,0.5533333,0.4147958
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-01-02-01.wav,0 days,0 days 00:00:04.237562500,38.5475,0.17183247,35.491737,39.16851,41.107716,5.6159782,481.60748,582.08813,63.981365,23.48175,0.62796575,1.1259683,0.07749059,0.33128476,1.1606972,1.0832067,10.080567,6.7901077,11.751606,7.910066,0.05271029,1.221384,1.1403899,0.7514741,6.7687817,0.80132085,8.168426,1.409768,15.521919,0.6216823,767.1831,0.41371357,1026.6726,0.2877599,-137.16649,-0.6316191,1791.0128,0.20161527,-119.79351,-0.7447457,2816.9731,0.13674623,-121.667885,-0.7155921,-7.3188047,-1.1799778,18.307917,0.46663773,0.10121071,0.38086426,-0.0050541307,-2.2129533,-0.16641693,11.922344,0.06790844,0.011406943,2.1327016,1.9184651,0.2175,0.17858821,0.28125,0.37058863
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-02-01-01.wav,0 days,0 days 00:00:03.970625,37.544247,0.1414421,36.481956,39.158306,40.35067,3.8687134,344.7895,267.19708,16.279339,21.473372,0.9329858,1.1714927,0.10043507,0.26755297,1.8732414,1.7728064,19.785791,11.064168,18.307938,9.642971,0.033592686,1.3141549,1.2762387,0.8339913,6.799356,0.6655762,5.962852,3.8149111,12.05508,1.873808,933.23303,0.24795353,884.028,0.34669632,-129.39722,-0.70928514,1994.4626,0.15293993,-125.49196,-0.7160216,3054.3333,0.10470219,-126.2836,-0.7017236,-5.9444814,-1.1914444,16.93794,0.48165354,0.10053095,0.3219018,-0.010674108,-1.38475,-0.26283193,10.265424,0.0595339,0.011430611,1.7676768,1.0230179,0.39,0.35035697,0.5675,0.49469054
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-02-02-01.wav,0 days,0 days 00:00:03.903916667,37.050083,0.120140366,35.700138,37.672714,39.895584,4.195446,124.12022,77.43484,44.80774,7.6193886,0.68586713,1.2496494,0.06222403,0.21539669,1.3005306,1.2383065,15.287704,10.931292,13.655275,6.31732,0.0336064,1.0767912,1.2520672,0.6040411,6.6546283,0.63196224,7.6120486,1.0859189,16.757769,0.52057284,679.194,0.51100844,1076.7805,0.30709204,-143.83604,-0.59609467,1674.318,0.23886742,-123.38561,-0.7326528,2708.779,0.14457151,-125.78164,-0.69611007,-8.451243,-0.72769713,17.909134,0.40434125,0.09534306,0.3665618,-0.007930306,-1.2467237,-1.0472338,13.065948,0.051561695,0.011606102,2.0565553,0.78125,0.52666664,0.26849374,0.5475,0.47876796
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-06-01-01-01-02.wav,0 days,0 days 00:00:03.636979167,42.403873,0.040545084,40.758766,42.15657,43.97017,3.211403,33.58219,36.206432,28.083887,26.308489,0.30284783,1.2068683,0.010858344,0.08093543,0.61350036,0.602642,6.106057,5.08383,7.234263,4.5523877,0.025174987,1.0986091,0.9139757,0.6808052,8.404249,0.8319315,6.2688656,1.4008462,12.745711,0.8778568,739.32874,0.41999742,1138.9508,0.33853707,-149.52669,-0.5480121,1689.9149,0.19984804,-123.629906,-0.7341439,2801.1008,0.12715988,-125.24804,-0.70763934,-7.584473,-1.1227715,17.347906,0.5191483,0.1288245,0.25815997,-0.008036489,-1.7597076,3.839394,3.234902,0.1088282,0.009976098,1.9337018,0.84033614,0.48333332,0.09533566,0.68,0.46783188
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-06-01-01-02-02.wav,0 days,0 days 00:00:03.737062500,42.999435,0.048127882,41.698807,42.606995,44.81368,3.114872,32.8256,12.08383,38.597538,47.788486,0.29882988,1.261972,0.0122386655,0.0647151,0.5535203,0.54128164,7.8268814,6.4057527,8.534766,4.7979884,0.026857462,1.1391408,1.1444206,0.69412374,9.048105,0.6158271,5.0291247,1.6702935,12.003697,0.81796885,844.61365,0.41510493,1109.5239,0.33594254,-141.46352,-0.59961236,1778.3744,0.21566665,-123.48712,-0.7330334,2897.8684,0.14977477,-125.05382,-0.70815265,-7.0666394,-1.2666439,17.91484,0.4760621,0.13120854,0.30875915,-0.0042229826,-3.3357837,2.720968,4.8717055,0.11594096,0.009895114,1.8817204,1.0899183,0.37,0.4760777,0.5225,0.49876723
