file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-01-01-01.wav,0 days,0 days 00:00:03.303291667,24.263882,0.10417109,21.65351,23.90738,27.101028,5.4475193,104.43651,113.43709,31.38996,8.258433,0.110050865,1.41079,0.0025381176,0.011108264,0.23271441,0.2301763,3.259262,1.5737914,3.9384446,2.2485027,0.05056587,0.9724139,1.7381268,0.6948007,2.2673109,1.2860848,2.7624772,1.453923,19.483963,0.3237368,548.60114,0.53838456,1041.8666,0.278874,-139.98746,-0.63122433,1497.5952,0.22382024,-141.43317,-0.60288584,2528.69,0.13896273,-143.60738,-0.5716529,-11.643292,-0.5451915,19.907448,0.37282008,0.073546074,0.39283317,-0.010039252,-1.2036864,-2.2328804,10.684524,0.05806425,0.011219681,2.1276596,0.9259259,0.33666667,0.22691163,0.53999996,0.48026034
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-01-02-01.wav,0 days,0 days 00:00:03.336666667,25.167887,0.10356062,23.178246,25.003677,27.69986,4.521614,56.69517,18.043629,9.7030525,9.479505,0.113809116,1.4049447,0.00364856,0.014938576,0.23316912,0.22952056,3.13405,1.3768517,3.7782702,2.3283634,0.032983992,0.6954157,1.5157452,0.47213787,3.2895572,0.9116305,4.428456,0.7815568,21.197342,0.31746292,568.1255,0.54245526,1039.9557,0.2661429,-140.10614,-0.62421846,1532.6685,0.24453782,-140.79897,-0.60005665,2546.2224,0.1339617,-142.95952,-0.5693041,-12.260626,-0.5311463,19.767748,0.37127256,0.07623236,0.3627026,-0.009698525,-1.0998908,-2.2346468,10.770817,0.050419495,0.012740945,2.4096386,1.2232416,0.2575,0.08982622,0.53499997,0.48520613
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-02-01-01.wav,0 days,0 days 00:00:03.269916667,24.186604,0.10349491,22.353912,23.728384,27.093287,4.739374,209.1527,255.81093,13.067577,11.153274,0.12920983,1.429387,0.0034784055,0.009519156,0.26552522,0.2620468,3.9736676,2.6112926,3.4761539,2.3303392,0.07563025,2.0800219,1.3928277,0.8511349,2.7564077,1.1649374,3.1501403,3.5114918,20.116116,0.33180538,490.80496,0.4913483,1180.0248,0.20872231,-135.65898,-0.6774023,1457.0912,0.21030094,-135.44696,-0.65209067,2470.9094,0.11885715,-137.76279,-0.6176878,-12.270457,-0.51902777,20.737755,0.36630678,0.07496938,0.34881166,-0.012636585,-0.86331654,-1.5646838,9.504948,0.055127468,0.014029234,2.1538463,0.63091487,0.545,0.175,0.6766666,0.414836
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-02-02-01.wav,0 days,0 days 00:00:03.169833333,24.268759,0.096042134,22.44383,24.47897,26.744179,4.3003483,159.00499,128.23384,31.331661,10.120691,0.12532137,1.483866,0.005231081,0.012053806,0.26482025,0.25958917,2.970293,1.7921376,3.4305441,1.9977577,0.061264936,1.1229491,1.7880682,0.68218,2.8690133,0.91433614,0.5362125,7.349874,20.31267,0.30877435,503.01205,0.5501087,1116.0005,0.21814278,-135.80656,-0.66499907,1458.6797,0.25198716,-138.58232,-0.6227424,2465.5498,0.1431703,-141.33788,-0.5829613,-12.642012,-0.585799,21.029684,0.42885858,0.066051446,0.42154983,-0.010524916,-1.1061114,-2.113302,10.640631,0.056815337,0.012168602,2.2222223,0.9771987,0.3333333,0.26737404,0.5,0.44570166
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-01-01-02.wav,0 days,0 days 00:00:03.636958333,36.796463,0.13502856,34.24703,35.355083,41.928215,7.6811867,-44.759808,45.28003,15.73199,0.0,0.16877896,1.4418691,0.0051424224,0.015500918,0.29309243,0.28795,5.608688,5.3014946,5.4354258,3.2876103,0.044883408,1.740043,1.3653852,0.7055024,6.4126782,0.7382576,8.578806,1.1831894,17.578247,0.52807504,628.8365,0.36265388,1299.3911,0.24065872,-153.68716,-0.52158606,1663.677,0.14212449,-145.47704,-0.56602895,2733.614,0.094094925,-146.97495,-0.54324216,-8.675667,-1.1459985,18.766659,0.6302102,0.12086765,0.2509652,-0.010635248,-1.276201,-4.4060464,12.353103,0.09231277,0.007535987,2.2099447,1.4005603,0.206,0.13979985,0.4083333,0.48498854
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-01-02-02.wav,0 days,0 days 00:00:03.603604167,37.380665,0.15590405,33.849945,36.183968,42.13081,8.280865,-58.55797,54.26569,18.135653,0.0,0.17238805,1.406807,0.0048447168,0.017053993,0.2999371,0.29509237,3.7092378,1.8476217,5.713844,3.4308581,0.03491144,1.1781559,1.4110224,0.8120315,6.4930167,0.8071367,9.289336,0.9860228,15.94113,0.5890662,665.1476,0.40002283,1244.9188,0.27489558,-145.56842,-0.57676506,1707.9447,0.1462927,-138.10318,-0.61589795,2753.9932,0.10342681,-139.28104,-0.5986032,-8.468027,-1.0103875,17.2509,0.6053753,0.12364496,0.2647523,-0.011961474,-0.9822914,-2.688553,11.473949,0.07384927,0.009859149,1.9498608,1.6949153,0.19,0.18457156,0.3242857,0.44106546
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-02-01-02.wav,0 days,0 days 00:00:03.770416667,36.3145,0.14799213,34.088573,36.8983,40.708183,6.61961,116.860695,74.88115,29.806776,0.0,0.22503889,1.4454359,0.0050310814,0.017679472,0.3828044,0.3777733,4.9083147,2.274109,4.7148485,2.90416,0.045138445,1.5728167,1.526227,0.9149934,5.9389377,0.99378675,7.2174215,1.23803,19.45653,0.39577585,570.872,0.3846238,1263.5436,0.2367909,-142.33652,-0.61889446,1611.4701,0.16007383,-131.26822,-0.6794082,2705.3933,0.10543983,-133.87564,-0.63975555,-10.16883,-0.8306815,20.806023,0.4653013,0.12591141,0.21595,-0.012593088,-1.0709642,-3.1957328,11.23459,0.06430091,0.009372914,1.8617021,1.0781672,0.33499998,0.21383405,0.5675,0.48925325
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-02-02-02.wav,0 days,0 days 00:00:03.603583333,37.287174,0.09290819,33.947918,36.73786,40.04474,6.096821,8.330135,11.895632,24.27954,1.9604516,0.20886126,1.4600904,0.007139529,0.019959418,0.34666038,0.33952084,5.6529217,2.8719733,4.6368003,2.9980822,0.03532285,0.9230517,1.358575,0.7690997,6.414949,0.83360153,7.0126815,1.3019781,18.862705,0.43533206,574.7751,0.48687977,1225.6598,0.23067303,-149.68057,-0.55700564,1603.2306,0.14171627,-138.19083,-0.6199232,2725.8345,0.102247804,-140.22124,-0.58989185,-9.322155,-0.8873461,19.591566,0.5143662,0.13356036,0.23769073,-0.008618058,-1.4827826,-3.384514,10.856069,0.08399665,0.007729834,1.9498608,1.4124295,0.22999999,0.17720045,0.38,0.495345
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_03\03-01-01-01-01-01-03.wav,0 days,0 days 00:00:03.436770833,29.886553,0.13601588,25.579985,31.20575,33.019123,7.4391384,-13.76075,35.044952,22.903515,16.071142,0.17597954,1.3499535,0.003415003,0.021829937,0.32141188,0.3179969,4.497064,2.169858,5.2105355,3.0223122,0.037963342,1.068648,1.5851824,0.74242306,4.178033,1.0514113,4.689644,1.9119968,16.540758,0.43461478,561.34753,0.4675208,1122.8622,0.24401064,-136.00227,-0.6653791,1598.1731,0.18411668,-136.89656,-0.63169956,2557.7869,0.1376066,-137.61696,-0.62100166,-11.332557,-0.526141,18.319658,0.33952403,0.10283926,0.37299848,-0.015901515,-0.6064917,-3.7075422,12.116939,0.08034041,0.009087833,2.0467837,1.1869437,0.28,0.20796634,0.432,0.476294
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_03\03-01-01-01-01-02-03.wav,0 days,0 days 00:00:03.503499999,27.875303,0.1889585,24.160948,27.833,33.133286,8.972338,164.4974,177.67314,89.20471,74.13703,0.16682489,1.2505333,0.015169055,0.03343432,0.32615113,0.31098208,3.583683,1.6750312,4.6141615,2.4192405,0.06075626,1.2822134,1.5600019,0.63821316,2.9584043,1.5134254,9.249657,2.2364953,19.411522,0.38498226,550.4817,0.52886117,1134.6526,0.2900939,-136.87616,-0.65413654,1552.0905,0.17293574,-134.24857,-0.65087205,2535.8257,0.13744996,-135.81355,-0.6281856,-10.982005,-0.6648318,18.56732,0.44374344,0.073412776,0.48584604,-0.016925726,-0.63441277,-11.928638,21.4196,-0.0055661667,0.0052911,2.0057306,1.7441862,0.19333334,0.0869227,0.30714285,0.43216118
