file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-01-01.wav,0 days,0 days 00:00:03.470145833,28.360964,0.09604397,27.025383,28.330723,30.857138,3.8317547,38.185062,13.609623,21.80517,20.585003,0.17161976,1.301374,0.0051690554,0.017775778,0.3972329,0.39206383,5.7114944,2.7959406,3.844663,2.2036796,0.05102338,0.93590254,1.6416911,0.76036406,3.7354355,0.9367564,2.4210148,2.90003,22.892643,0.3451865,542.26263,0.53019315,1130.3545,0.22236103,-132.04169,-0.69442713,1518.2632,0.2153071,-133.24593,-0.65407836,2547.4385,0.13600014,-135.45306,-0.6219163,-13.399647,-0.51996166,21.067707,0.40575624,0.09249357,0.3202337,-0.015276008,-0.7368202,-2.2468376,10.86092,0.05493425,0.009822168,2.3121388,0.87976545,0.41,0.2728858,0.5275,0.45805976
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-02-01.wav,0 days,0 days 00:00:03.470125,28.093277,0.104256205,26.137873,28.165636,30.960896,4.823023,71.55335,44.999924,-3.7361603,38.801636,0.19240685,1.3802015,0.0036704987,0.021664694,0.4037468,0.40007633,5.7909904,3.0100713,4.956218,2.2320228,0.04945035,1.0999517,1.6207352,0.59238786,3.1536078,1.151814,1.9560844,3.2505157,18.025217,0.42545173,580.95465,0.5185358,1054.3118,0.30703232,-132.53506,-0.68678796,1588.0427,0.24125212,-131.94101,-0.6737089,2570.192,0.13080208,-133.69266,-0.647514,-10.491194,-0.60421836,18.079897,0.4667715,0.090766564,0.33164892,-0.012424224,-1.0460745,-5.999138,15.004519,0.04548465,0.010487129,2.0231214,0.87976545,0.4133333,0.35235712,0.525,0.495101
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-01-01.wav,0 days,0 days 00:00:03.536854167,26.80905,0.085334636,24.856455,27.097775,28.884766,4.028311,158.4906,289.74237,42.54873,23.666393,0.15694135,1.2714124,0.0034432411,0.03260392,0.32505947,0.32161623,4.446689,2.7733405,3.1442153,1.8056661,0.044403046,1.0334412,1.6694441,0.82997984,4.1370993,0.7754878,2.381994,2.0590227,22.257656,0.3704582,467.2424,0.44111213,1155.5673,0.23013906,-131.55092,-0.70012206,1416.6116,0.2008897,-133.30927,-0.6601701,2485.8142,0.1042,-136.13838,-0.6179952,-13.7616415,-0.5311751,21.972816,0.36967286,0.09071669,0.26372632,-0.01579235,-0.8513996,-0.26298985,9.327943,0.06606552,0.01288798,1.9886364,0.86455333,0.4133333,0.28778848,0.71666664,0.43021956
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-02-01.wav,0 days,0 days 00:00:03.703708333,26.414186,0.075985104,24.860573,26.16366,27.98399,3.123417,232.39738,310.387,35.15411,20.592363,0.16965015,1.1819457,0.0055775465,0.018812904,0.36667854,0.361101,4.2410975,2.7259114,3.391404,2.0900512,0.039144885,0.7781071,1.3321688,0.6890306,4.514757,0.61879766,3.6230495,1.2480359,20.08562,0.4114351,432.7019,0.46206358,1171.3225,0.20625803,-129.99217,-0.7168145,1372.6516,0.20510705,-132.3711,-0.6702142,2428.2256,0.10943514,-134.47238,-0.6384425,-13.037167,-0.55039155,20.963469,0.4019592,0.083916925,0.30322233,-0.015348731,-0.68531406,-1.6405177,10.248827,0.045838684,0.011686173,2.1680217,0.82417583,0.43666667,0.32724437,0.565,0.440142
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-01-01.wav,0 days,0 days 00:00:03.670333333,34.288193,0.09648248,31.88669,33.992844,37.641438,5.7547474,49.435265,25.819061,6.2131524,27.50914,0.23950216,1.320631,0.0078029893,0.023868676,0.47884178,0.4710388,8.752122,4.842956,5.1017613,2.5346112,0.05022749,0.9745318,1.651402,0.69391674,4.880901,0.9014259,5.427282,1.757718,20.201345,0.4010458,566.57227,0.5382653,1080.8523,0.2484901,-145.69016,-0.5868516,1532.746,0.23717406,-132.30753,-0.6662131,2543.4324,0.14056501,-134.64429,-0.63231516,-11.601998,-0.64441407,20.146824,0.4096011,0.119809486,0.269067,-0.01393273,-0.9108435,0.28178805,8.241871,0.07089036,0.012436315,2.7322404,0.83102494,0.43666667,0.33983657,0.74,0.4456456
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-02-01.wav,0 days,0 days 00:00:03.636958333,33.48536,0.10049627,31.802013,33.41911,35.896893,4.094879,113.937164,100.56774,11.214119,19.981472,0.2858157,1.3642023,0.010425472,0.043358073,0.5647212,0.5542958,10.626364,7.604188,6.5926633,3.1852741,0.05011704,0.79975,1.3107344,0.78485185,5.6145186,0.79155207,5.0815153,1.8678522,18.297276,0.4161289,481.19473,0.5637013,1185.5303,0.24446262,-146.28574,-0.5785611,1446.6644,0.21722591,-129.21092,-0.6908256,2493.4739,0.13459432,-131.67244,-0.6536037,-10.023134,-0.6186035,19.82929,0.33770075,0.11348585,0.2706285,-0.01067477,-0.87434864,-3.1127098,13.68466,0.046924397,0.010700178,2.486188,1.1204482,0.33249998,0.35216296,0.42999998,0.4782886
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-01-01.wav,0 days,0 days 00:00:03.937250,31.879889,0.093199834,29.523552,32.501026,34.431736,4.908184,52.160027,40.188854,60.23297,31.982494,0.38046318,1.2062275,0.010522972,0.12475401,0.71692073,0.7063978,10.796503,7.028862,9.877244,7.217802,0.061036635,1.3420604,1.3895211,0.7819406,4.939412,0.8213692,4.207462,2.3016894,16.73027,0.38237685,689.78296,0.49958503,1103.6493,0.2645257,-127.9617,-0.72033024,1668.5062,0.2466168,-119.83926,-0.77233404,2737.314,0.13291115,-122.211334,-0.7346545,-9.5659895,-0.60889965,18.117756,0.41409227,0.11508965,0.24626665,-0.012325091,-1.0485449,-0.68264186,10.164435,0.041563276,0.012538747,2.2959185,0.7751938,0.5433333,0.3196178,0.54249996,0.46402448
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-02-01.wav,0 days,0 days 00:00:03.937270833,31.276716,0.09591051,29.305344,31.591621,33.897778,4.592434,226.28613,219.22617,-4.7782364,33.823174,0.36118197,1.2225267,0.0047705453,0.11969194,0.77256113,0.7677906,9.379121,5.497617,7.003868,3.9318054,0.04749287,1.681034,1.3101907,0.6713029,4.789228,0.870118,2.3629282,4.0802555,16.236876,0.37469503,608.708,0.54288626,1126.1189,0.23235492,-129.55882,-0.70783734,1629.9297,0.25033003,-118.88645,-0.7734786,2638.4165,0.15231985,-120.944885,-0.7396096,-9.603559,-0.5738272,19.158747,0.37519822,0.111602016,0.26390955,-0.011978016,-1.0282344,-0.11984401,7.5244384,0.06071514,0.012027348,2.2959185,0.7751938,0.5566667,0.31899145,0.70666665,0.39381328
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-01-02.wav,0 days,0 days 00:00:03.603604167,37.440506,0.12254186,33.43709,37.317142,41.814175,8.377083,138.97601,94.47214,19.53419,14.786485,0.28677455,1.4879905,0.010781005,0.032854054,0.45818287,0.44740188,6.8534064,4.051293,8.602103,4.0539994,0.033993296,1.1031275,1.4617953,0.75888115,6.3113556,0.82870007,4.6660104,1.7805775,10.924129,0.89871967,627.0793,0.5410695,1033.1833,0.36132607,-135.3918,-0.65761286,1677.0317,0.22525212,-125.62409,-0.72258407,2719.8584,0.1350495,-127.805626,-0.68803304,-5.963844,-1.3456928,16.561968,0.50317115,0.120475166,0.27737427,-0.008042763,-1.9052286,0.1195044,6.9060435,0.082259074,0.009770312,1.6713092,1.1299435,0.345,0.2927883,0.414,0.47885695
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-02-02.wav,0 days,0 days 00:00:03.703687500,37.525978,0.12008161,34.34516,36.415604,42.13788,7.792717,55.23102,55.349537,21.004595,12.738091,0.27430102,1.5008374,0.0073749404,0.022067249,0.4587462,0.45137125,7.204806,5.658508,6.5001187,3.9455597,0.036602244,1.2859918,1.3457268,0.80870533,6.24297,0.87989944,5.588203,1.7703338,11.533544,0.7857677,609.9251,0.475358,1066.63,0.2929099,-139.25177,-0.626122,1667.329,0.18338433,-127.373825,-0.6992347,2720.7,0.13256237,-128.27664,-0.6845922,-6.2470493,-1.308206,15.007657,0.51952267,0.12823227,0.24397518,-0.009149882,-1.4896383,-1.9604126,9.032215,0.078955404,0.008716014,2.1680217,1.3736265,0.278,0.17814602,0.53,0.47597265
