file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-01-01-01.wav,0 days,0 days 00:00:03.403395833,27.940023,0.1682987,23.981983,27.727356,33.356747,9.3747635,133.0818,146.0394,38.369358,83.13824,0.130757,1.4724655,0.0020206647,0.010519347,0.25160995,0.24958928,3.9847467,2.1208873,4.059154,1.9379042,0.07407905,0.8382351,2.053511,0.62502974,2.7763817,1.0661275,2.4367998,2.8773277,22.63599,0.28810018,582.1498,0.57633424,1073.4531,0.24247149,-140.0322,-0.6219561,1546.3208,0.23310134,-140.95996,-0.5948679,2559.012,0.13573359,-143.2001,-0.56292826,-12.222302,-0.6174646,21.177376,0.4373051,0.08333435,0.33300608,-0.012301159,-1.0718759,-0.21398868,8.54568,0.087217376,0.0145457005,2.0648968,1.7964072,0.17,0.06733003,0.3633333,0.4610375
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-01-02-01.wav,0 days,0 days 00:00:03.269916667,25.457859,0.13677251,23.199665,26.253952,27.889557,4.689892,87.12311,60.638687,62.53474,37.327114,0.13446552,1.5491077,0.0019477912,0.006025905,0.2480168,0.24606901,4.8159323,3.0708919,4.832928,2.3566854,0.09067082,1.2477252,1.6413778,0.5986085,2.1533434,1.4521385,2.7696464,4.218662,19.503252,0.37285927,469.5642,0.49513176,1182.2545,0.19470662,-139.55313,-0.6436536,1452.8833,0.18488273,-139.48293,-0.617087,2473.2588,0.12635487,-141.52475,-0.58704543,-11.815102,-0.62092704,20.027037,0.45321736,0.083780736,0.27327144,-0.012314249,-0.9083646,-0.6138134,7.719073,0.08393312,0.015184142,2.4615386,1.2500001,0.2525,0.19096792,0.5225,0.48761535
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-02-01-01.wav,0 days,0 days 00:00:03.536875,28.157099,0.27110368,24.967396,26.115013,29.621323,4.653927,190.58801,248.69131,219.49176,263.03293,0.1510598,1.360478,0.003088534,0.023230074,0.29188564,0.2887971,2.9004126,2.0526123,2.6069958,1.8000737,0.04912439,0.7856604,1.5007552,0.8279453,3.614696,0.9538956,1.015108,5.429904,18.48265,0.6408743,468.04297,0.45431346,1212.4382,0.21011448,-133.9424,-0.6740419,1392.6747,0.22643751,-133.5085,-0.6457534,2479.005,0.13699979,-134.79642,-0.61848444,-11.783262,-0.843922,19.629383,0.60505986,0.080657244,0.35155234,-0.0142972795,-0.90024614,-0.6350944,8.498114,0.0704292,0.012815577,1.9886364,1.734104,0.20333333,0.18811935,0.35,0.44918445
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-02-02-01.wav,0 days,0 days 00:00:03.269916667,29.031376,0.083701685,27.024324,28.751389,30.953602,3.9292774,147.68196,204.8844,16.830425,19.995361,0.16696543,1.4326434,0.001731901,0.006847086,0.38151497,0.37978306,5.4365377,3.3972878,4.5986476,3.3244596,0.045534313,0.7824097,1.9588209,0.80199414,3.4366505,1.0572714,0.70266324,7.618683,20.241007,0.39390346,516.65125,0.5685999,1152.6267,0.25460497,-142.57132,-0.6117949,1455.0103,0.25516137,-141.54083,-0.5992186,2518.4426,0.123079486,-143.72258,-0.568202,-12.1017275,-0.66797405,19.815956,0.44304058,0.09864275,0.29374924,-0.015267845,-1.0464826,0.3138204,6.917779,0.08793772,0.013273413,2.1538463,1.2500001,0.24499999,0.14908051,0.53,0.46545675
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-01-01-01.wav,0 days,0 days 00:00:03.436750,29.426144,0.19187678,26.942505,29.020317,34.75788,7.8153763,86.78932,42.83914,125.633224,104.5282,0.25498462,1.4005839,0.0017547781,0.017489094,0.54126346,0.5395087,8.8049,5.8257794,7.389534,3.296536,0.108921945,1.3259481,1.6346912,0.64055824,2.3394501,1.7435201,3.9976654,2.2314625,18.885534,0.4081457,524.5247,0.6114415,1135.0194,0.25744736,-143.25568,-0.6093346,1496.319,0.22724473,-132.6097,-0.67131335,2522.5486,0.12403601,-134.54848,-0.64259607,-10.3874,-0.6642898,18.837431,0.45805955,0.103355564,0.31127274,-0.013179985,-0.96958035,-1.8791012,11.312948,0.06993122,0.014774726,2.3391814,1.1869437,0.295,0.2294014,0.5225,0.49281713
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-01-02-01.wav,0 days,0 days 00:00:03.570229167,31.813362,0.16661698,28.248348,31.045004,36.94317,8.69482,160.2677,77.58967,105.14184,103.73913,0.3101014,1.4243431,0.0015660739,0.016366411,0.5969234,0.59535736,9.63327,5.6959453,8.391946,4.488707,0.13974477,1.5218673,1.6491845,0.64537084,3.3049207,1.3512112,1.8835496,6.8402247,15.088986,0.95106196,645.3796,0.45989275,1117.3904,0.23870052,-137.20052,-0.65736526,1650.5651,0.21366264,-130.05632,-0.689826,2712.2046,0.12102906,-131.40305,-0.66904193,-9.260583,-0.81628263,18.319878,0.44077182,0.10022395,0.23215061,-0.011771045,-1.2155658,-1.2342188,9.867485,0.08134647,0.014691682,2.52809,0.85470086,0.4333333,0.3655437,0.53499997,0.4901275
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.704145,0.0977114,28.090626,29.455544,31.617111,3.5264854,360.9814,323.27377,19.799706,23.015516,0.2652023,1.2809577,0.001710108,0.02687966,0.54912883,0.5474187,7.731302,5.5168667,6.141964,3.5535266,0.051277477,1.5696558,1.4521959,0.7812452,4.116658,0.84852153,0.7717158,8.13222,17.22953,0.35561255,543.9325,0.48713738,1195.1185,0.21018389,-137.2154,-0.6545219,1560.788,0.23052888,-134.02841,-0.64823335,2571.7234,0.13499573,-135.04128,-0.6330247,-10.344822,-0.6300014,18.691463,0.48795247,0.10241762,0.25345454,-0.014945892,-0.8327707,0.8823484,7.298143,0.08844898,0.015560085,2.5787966,0.8720931,0.41,0.27471197,0.53499997,0.45013884
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-02-02-01.wav,0 days,0 days 00:00:03.269937500,33.98586,0.16419435,32.617893,35.35442,37.479263,4.86137,220.40198,150.30658,-29.914734,59.054943,0.31415126,1.391929,0.0029866956,0.019142086,0.7463002,0.74331355,11.849721,5.5675035,9.10978,6.142202,0.07645601,1.4387305,1.574826,0.730779,4.671183,0.90435827,7.053733,1.0225161,19.946,0.41117272,610.5313,0.54595697,1116.536,0.2540005,-160.1884,-0.47201136,1586.298,0.2517708,-137.52228,-0.63178456,2587.9463,0.13943575,-139.60036,-0.6022115,-9.592255,-0.49802735,19.758284,0.43387672,0.11371057,0.34317055,-0.01220884,-0.91825,-2.3097708,10.494488,0.057020873,0.01136548,2.4615386,0.93750006,0.35333332,0.23271345,0.5175,0.46788752
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-08-01-01-01-02.wav,0 days,0 days 00:00:03.536854167,40.142017,0.16409145,35.827774,39.130398,45.124252,9.296478,77.789406,26.49929,54.979206,25.443,0.28074524,1.302024,0.010926262,0.053610064,0.60249907,0.5915728,6.8470845,3.8705902,9.255264,5.354917,0.05516019,0.8743232,1.4418525,0.5317229,5.139879,1.00817,1.3274591,18.817583,10.397059,2.4215775,757.4886,0.42279717,1068.2551,0.22365753,-141.44182,-0.6133816,1787.1902,0.20229845,-134.78452,-0.6504951,2856.3535,0.10753743,-136.80754,-0.62006813,-6.486815,-1.5970762,17.335781,0.56961846,0.109611236,0.5584132,-0.008814665,-2.1276493,-2.8477943,10.298246,0.07390236,0.00909318,2.2727273,1.4409221,0.234,0.111999996,0.36499998,0.4744031
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-08-01-01-02-02.wav,0 days,0 days 00:00:03.536854167,40.300148,0.15737066,34.32546,38.236584,47.39314,13.06768,130.5392,100.78233,60.210182,40.77645,0.24604131,1.3037894,0.007270406,0.016619608,0.50454,0.49726963,7.5222225,4.643031,6.921852,4.146001,0.05284984,0.9812411,1.4086525,0.7215747,5.3681383,0.9138641,4.4137177,1.869247,12.517477,0.5243477,744.67975,0.39554262,1064.7034,0.23466663,-143.6881,-0.586546,1742.899,0.17020188,-137.0313,-0.62716895,2789.9075,0.11791527,-138.89528,-0.5986639,-6.2743416,-1.0670451,15.697174,0.48666945,0.1285336,0.31493464,-0.008916375,-1.5149995,0.39352542,6.4656143,0.09020238,0.01142817,2.2727273,1.7291067,0.18833333,0.086103946,0.36666667,0.44935757
