file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,label
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-01-01-01.wav,0 days,0 days 00:00:03.303291667,24.263882,0.10417109,21.653507,23.907377,27.101028,5.447521,104.43661,113.43728,31.389975,8.258446,0.110050865,1.41079,0.0025381176,0.011108264,0.2327144,0.23017628,3.259262,1.5737915,3.9384446,2.2485027,0.037904795,0.9456391,1.4894191,0.72059,2.2673109,1.2860849,2.7624772,1.4539231,19.43091,0.3088577,531.88824,0.5494,1055.5863,0.27170333,-139.4837,-0.6357872,1477.9144,0.22944239,-141.36519,-0.603904,2510.8298,0.1396549,-143.5905,-0.5718592,-11.643292,-0.5451915,19.907448,0.37282008,0.073546074,0.39283317,-0.010039252,-1.2036864,-2.23288,10.639625,0.05806425,0.011219681,2.1276596,0.9259259,0.33666667,0.22691163,0.53999996,0.48026034,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-01-02-01.wav,0 days,0 days 00:00:03.336666667,25.167887,0.10356061,23.178244,25.003677,27.69986,4.521616,56.69507,18.043522,9.703037,9.479506,0.11380911,1.4049448,0.00364856,0.014938576,0.23316912,0.22952056,3.13405,1.3768517,3.7782702,2.3283634,0.023065848,0.8327043,1.6825556,0.57338804,3.2895575,0.91163045,4.4284563,0.78155667,21.039085,0.29919043,562.9614,0.54262763,1038.7886,0.26975396,-139.97949,-0.62607425,1526.3601,0.24334463,-140.79219,-0.60015094,2538.441,0.134083,-142.90822,-0.56999975,-12.260626,-0.5311463,19.767748,0.37127256,0.07623236,0.3627026,-0.009698525,-1.0998908,-2.2346468,10.72184,0.050419495,0.012740946,2.4096386,1.2232416,0.2575,0.08982622,0.53499997,0.48520613,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-02-01-01.wav,0 days,0 days 00:00:03.269916667,24.186604,0.103494905,22.35391,23.728384,27.093285,4.739374,209.15268,255.81094,13.067581,11.15327,0.12920983,1.429387,0.0034784055,0.009519156,0.26552522,0.2620468,3.9736674,2.6112924,3.4761536,2.3303394,0.04545255,1.8597615,1.602726,0.7354848,2.7564077,1.1649374,3.1501403,3.5114918,20.13977,0.3305085,484.182,0.47884557,1178.5167,0.2001062,-136.13573,-0.6733555,1447.8007,0.20154491,-135.41458,-0.65258795,2462.3364,0.11314478,-137.77107,-0.6175622,-12.270457,-0.51902777,20.737755,0.36630678,0.07496938,0.34881166,-0.012636585,-0.8633165,-1.5646839,9.447987,0.055127468,0.014029234,2.1538463,0.63091487,0.545,0.175,0.6766666,0.414836,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-01-01-02-02-01.wav,0 days,0 days 00:00:03.169833333,24.268759,0.09604213,22.443832,24.47897,26.744179,4.3003464,159.00505,128.23387,31.33165,10.120676,0.12532137,1.483866,0.005231081,0.012053806,0.26482025,0.25958917,2.970293,1.7921376,3.4305441,1.9977576,0.03373958,1.1395651,1.6023065,0.7280515,2.8690133,0.91433614,0.53621256,7.349873,20.31267,0.30877435,501.78186,0.5520756,1119.5336,0.21955475,-136.2682,-0.6612372,1456.5543,0.25273028,-138.57277,-0.622872,2463.8958,0.14343451,-141.33788,-0.5829613,-12.642012,-0.585799,21.029684,0.42885855,0.066051446,0.42154983,-0.010524916,-1.1061114,-2.113302,10.585737,0.05681534,0.012168602,2.2222223,0.9771987,0.3333333,0.26737404,0.5,0.44570166,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-01-01-02.wav,0 days,0 days 00:00:03.636958333,36.796463,0.13502856,34.24703,35.355083,41.928215,7.6811867,-44.759808,45.28003,15.73199,0.0,0.16877896,1.4418691,0.0051424224,0.015500918,0.29309243,0.28795,5.608688,5.301493,5.4354258,3.2876098,0.026857035,1.1988658,1.4774328,0.8089034,6.4126782,0.7382576,8.578806,1.1831894,17.570148,0.5295487,629.2519,0.36199516,1313.8866,0.24724157,-153.73259,-0.5210067,1668.3611,0.14159392,-145.47214,-0.5660914,2737.5745,0.09395843,-146.97252,-0.5432839,-8.675667,-1.1459985,18.766659,0.6302102,0.12086765,0.2509652,-0.010635249,-1.2762009,-4.4060464,12.353103,0.09231276,0.0075359875,2.2099447,1.4005603,0.206,0.13979985,0.4083333,0.48498854,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-01-02-02.wav,0 days,0 days 00:00:03.603604167,37.380665,0.15590405,33.849945,36.183968,42.13081,8.280865,-58.55797,54.26569,18.135653,0.0,0.17238805,1.406807,0.0048447168,0.017053993,0.2999371,0.29509237,3.7092378,1.8476217,5.7138433,3.4308577,0.018497733,1.6010624,1.2641826,0.6689566,6.4930167,0.8071368,9.289335,0.9860229,15.971099,0.58843195,660.7287,0.40417466,1246.8823,0.2832337,-145.55748,-0.5769663,1697.5824,0.15270786,-138.04234,-0.616781,2746.7673,0.10377734,-139.2912,-0.5984511,-8.468027,-1.0103875,17.2509,0.6053753,0.123644955,0.26475233,-0.011961474,-0.98229134,-2.688553,11.353637,0.07384927,0.00985915,1.9498608,1.6949153,0.19,0.18457156,0.3242857,0.44106546,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-02-01-02.wav,0 days,0 days 00:00:03.770416667,36.3145,0.14799213,34.088573,36.8983,40.708183,6.61961,116.860695,74.88115,29.806776,0.0,0.22503889,1.4454359,0.0050310814,0.017679472,0.3828044,0.3777733,4.9083147,2.2741086,4.714848,2.9041598,0.03821351,2.0092907,1.4295192,0.7961453,5.9389386,0.99378675,7.2174215,1.23803,19.473814,0.38901538,555.9949,0.368909,1271.1982,0.2354445,-142.10733,-0.6218518,1607.4277,0.14545794,-131.32167,-0.6786096,2691.6965,0.096009105,-133.8817,-0.63959676,-10.16883,-0.8306815,20.806023,0.46530133,0.12591141,0.21594997,-0.012593089,-1.0709642,-3.1957326,11.291951,0.06430091,0.009372914,1.8617021,1.0781672,0.33499998,0.21383405,0.5675,0.48925325,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-01-01-02-02-02.wav,0 days,0 days 00:00:03.603583333,37.287174,0.09290819,33.947918,36.73786,40.04474,6.096821,8.33015,11.895621,24.279556,1.9604517,0.20886126,1.4600904,0.007139529,0.019959416,0.34666038,0.33952084,5.652922,2.8719733,4.6368003,2.9980822,0.018022055,0.80818784,1.2379572,0.7826947,6.4149485,0.83360153,7.012682,1.301978,18.880728,0.43528888,574.7039,0.48767778,1223.9363,0.23044059,-150.13753,-0.55353105,1609.0139,0.14294587,-138.20709,-0.6197786,2741.1726,0.09940591,-140.22696,-0.5898175,-9.322155,-0.887346,19.591566,0.5143662,0.13356036,0.23769073,-0.008618059,-1.4827824,-3.384514,10.74415,0.08399665,0.007729834,1.9498608,1.4124295,0.22999999,0.17720045,0.38,0.495345,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_03\03-01-01-01-01-01-03.wav,0 days,0 days 00:00:03.436770833,29.886553,0.13601588,25.579985,31.20575,33.019123,7.4391384,-13.76075,35.044952,22.903507,16.071135,0.17597954,1.3499535,0.003415003,0.021829937,0.32141188,0.3179969,4.497064,2.169858,5.2105355,3.0223122,0.033123866,1.4436404,1.5360382,0.7550082,4.178033,1.0514113,4.689644,1.9119968,16.513985,0.43553394,570.47577,0.47170627,1125.1261,0.24610277,-136.06662,-0.6643797,1602.6692,0.18196851,-136.87279,-0.6320269,2561.2068,0.13575433,-137.61058,-0.62103885,-11.332557,-0.526141,18.319658,0.33952406,0.10283926,0.3729985,-0.015901515,-0.60649174,-3.7075422,12.041005,0.08034041,0.009087833,2.0467837,1.1869437,0.28,0.20796634,0.432,0.476294,neutral
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_03\03-01-01-01-01-02-03.wav,0 days,0 days 00:00:03.503499999,27.875303,0.18895848,24.160948,27.833,33.133286,8.972338,164.49739,177.67311,89.20471,74.13703,0.16682489,1.2505333,0.015169055,0.03343432,0.32615113,0.31098208,3.583683,1.6750312,4.6141615,2.4192405,0.03682423,1.8256803,1.5805627,0.6610817,2.958404,1.5134255,9.249657,2.2364953,19.2431,0.39549354,554.6285,0.55571586,1103.813,0.27456436,-136.46834,-0.65744734,1540.1552,0.17699957,-134.21252,-0.65144885,2524.4683,0.1396446,-135.75146,-0.6290029,-10.982006,-0.66483176,18.56732,0.44374344,0.073412776,0.48584604,-0.016925724,-0.6344128,-11.928638,21.4196,-0.0055661676,0.0052911,2.0057306,1.7441862,0.19333334,0.0869227,0.30714285,0.43216118,neutral
