file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-01-01-01.wav,0 days,0 days 00:00:03.870541667,30.281693,0.18145645,26.696667,29.608896,32.87205,6.1753845,411.15695,369.39664,98.607864,61.63357,0.30953383,1.3722346,0.0051132794,0.086011976,0.62811846,0.62300515,9.112722,5.3672357,9.09934,5.702922,0.074315004,1.728745,1.4217825,0.6559037,3.2610898,1.0086687,4.5765166,1.9567188,16.395733,0.52371186,557.54266,0.48304972,1058.5726,0.22017628,-139.25056,-0.622738,1642.2037,0.22157466,-136.7948,-0.6117686,2627.4744,0.1435794,-136.87276,-0.610648,-9.654114,-0.8515793,17.15797,0.50685805,0.076201454,0.4802348,-0.012805535,-0.99202305,1.125374,6.738546,0.07050973,0.0121655725,2.3316064,1.8372704,0.17857143,0.13829869,0.29625,0.4136707
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-01-02-01.wav,0 days,0 days 00:00:03.937270833,33.16508,0.1677483,28.940125,31.801796,39.033638,10.0935135,292.06006,177.8407,53.547832,32.755985,0.3476647,1.2642013,0.0060001435,0.101517946,0.7615849,0.7555847,9.035008,4.353672,8.898017,4.1065955,0.04253144,1.1727635,1.1570892,0.6481249,3.5655522,0.9952168,6.6704025,1.9438095,18.566645,0.4082607,606.8237,0.50315493,1117.973,0.32986656,-138.07724,-0.6458799,1666.6119,0.20609438,-131.96227,-0.6560116,2733.2388,0.14089268,-132.7982,-0.64435726,-9.659999,-0.8683154,17.259491,0.47380343,0.0942146,0.3363547,-0.014657787,-0.8089745,0.6520099,7.635916,0.084691,0.011327809,2.2959185,1.2919897,0.276,0.22887552,0.33571428,0.41513705
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.05877,0.14237341,25.415398,28.782507,32.848175,7.4327774,281.34537,280.85287,39.346024,49.29546,0.25218406,1.3600134,0.0050336234,0.030422837,0.54022056,0.53518695,6.493707,3.3598242,6.0151286,3.5101807,0.06266662,1.861751,1.4280555,0.5959016,2.734667,1.2940736,3.6254802,2.1710212,20.690268,0.29752138,522.2862,0.47427088,1181.6433,0.23778065,-141.02132,-0.6210216,1509.4218,0.22941965,-134.39136,-0.6484362,2567.4038,0.124379724,-136.08899,-0.62277156,-11.242266,-0.6717481,19.13305,0.42745426,0.096989624,0.39912796,-0.014562888,-0.73025197,0.8157309,7.2777724,0.06457073,0.012270239,2.5787966,1.1627908,0.29999998,0.27083203,0.53499997,0.43557432
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-02-02-01.wav,0 days,0 days 00:00:03.737062500,29.093756,0.15790728,27.656242,28.972029,32.95482,5.2985764,303.032,361.23068,43.982483,6.461322,0.35503417,1.3325253,0.009104953,0.06295174,0.6930491,0.6839441,9.0819025,5.89353,7.095971,4.3196883,0.057805892,1.5883647,1.5965999,0.68844897,3.0273159,1.2650973,6.04923,2.2350612,16.53958,0.44546732,605.68317,0.5005274,1116.843,0.2482141,-135.79343,-0.6657504,1634.0701,0.24103776,-129.94066,-0.68855715,2660.7805,0.14654353,-130.90445,-0.67328876,-9.892733,-0.6948201,17.141195,0.44220075,0.09800206,0.3225455,-0.012642116,-0.86094904,1.1413637,7.0755477,0.060920987,0.010913136,2.419355,1.0899183,0.3375,0.31252,0.44599998,0.4298185
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-01-01-01.wav,0 days,0 days 00:00:04.104104167,41.331577,0.15562147,39.288895,43.20465,45.90346,6.614567,157.72075,79.36519,36.36054,8.998047,1.2545366,1.2319909,0.014363263,0.37334836,2.807121,2.7927577,21.850683,12.207253,25.15093,11.825091,0.03203471,1.7148805,1.126534,0.61094797,5.6335077,1.0645037,5.5170035,2.0375075,11.763058,0.9607843,962.3362,0.2392722,785.6757,0.46959147,-120.97481,-0.76701677,2034.1196,0.13794278,-116.28786,-0.7904376,3113.5947,0.09803886,-118.66918,-0.7528627,-4.3950453,-1.3224967,14.143477,0.48252487,0.12699328,0.36042967,-0.007756718,-1.6807384,-1.2133106,10.137784,0.06404616,0.00946892,1.7114916,1.4851485,0.29166666,0.18703088,0.35833332,0.351398
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-01-02-01.wav,0 days,0 days 00:00:04.371041667,37.747375,0.10753678,34.04027,39.508625,40.761612,6.72134,419.8061,591.8755,79.96003,71.58747,0.9212245,1.118071,0.028724464,0.5397085,1.6899039,1.6611794,18.013771,8.605861,17.866743,13.804123,0.02688913,1.4606407,0.97531164,0.75711066,6.3829083,0.6824606,9.144923,1.0575367,15.320909,0.5085619,737.9337,0.41442925,991.182,0.33383104,-136.33284,-0.65884703,1780.8691,0.21671806,-119.44644,-0.7589555,2856.4626,0.13321562,-121.10828,-0.73320484,-6.3636847,-1.2110405,14.92745,0.5391372,0.094209194,0.30400726,-0.014135903,-0.98147464,4.479141,6.75889,0.08652767,0.01186429,2.5229356,1.62413,0.25714284,0.11423213,0.39,0.47
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-02-01-01.wav,0 days,0 days 00:00:04.137458333,36.234467,0.14220476,31.964804,36.7951,40.579727,8.6149235,296.556,150.48048,52.248535,22.972004,0.89823097,1.3114119,0.06335935,0.27542484,1.5761244,1.512765,22.67106,14.790152,23.180084,21.773746,0.054315414,2.1147056,1.2209651,0.64382946,5.154593,0.81581265,6.191127,1.4296165,12.698458,0.6279415,863.31506,0.34153095,894.26697,0.36396173,-140.84625,-0.622881,1968.3591,0.19024055,-132.84431,-0.67432076,2996.3884,0.10802559,-133.74097,-0.66108537,-5.402636,-1.4639833,13.933836,0.59648156,0.10327107,0.40245113,-0.013281839,-1.0727887,4.978397,3.9476595,0.08243276,0.01082508,1.9417477,0.7371008,0.47,0.313794,0.512,0.3801789
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-02-02-01.wav,0 days,0 days 00:00:04.437770833,41.773956,0.13189758,40.04693,43.048687,45.925583,5.8786545,196.64967,197.26723,46.545788,36.366047,1.8600965,1.1966273,0.07635095,0.7900605,4.2180233,4.141672,43.50986,30.720581,32.123596,19.289291,0.036593962,2.1092107,1.1049486,0.67900217,5.994873,0.9102503,0.17638774,45.033882,8.610793,1.0024081,955.6361,0.27343678,786.02124,0.38775098,-112.56186,-0.84481055,2044.0929,0.15494902,-109.41854,-0.8554901,3089.5405,0.11859406,-111.51536,-0.8207965,-2.965439,-2.226633,13.407739,0.4940627,0.13042577,0.30835626,-0.007403006,-1.7300704,3.805915,6.2112017,0.097413674,0.011796765,2.2624433,1.1441648,0.41,0.29325756,0.44,0.4236508
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-05-01-01-01-02.wav,0 days,0 days 00:00:03.670333333,37.153885,0.15601292,33.697964,38.829914,41.893677,8.195713,600.1486,705.39905,54.27791,6.864235,0.2605469,1.3194215,0.0072201826,0.027720641,0.52934915,0.52212894,9.862039,7.2561035,7.2946854,4.3628874,0.03638224,1.6234194,1.2962091,0.54094964,5.427152,0.96503174,8.450894,1.2790096,15.160093,0.7254383,565.62555,0.45645612,1175.1628,0.24643102,-151.37073,-0.53599346,1567.6038,0.21076094,-135.1909,-0.639574,2597.6372,0.13957009,-136.20381,-0.62368596,-8.542495,-1.1625308,20.377092,0.46354303,0.09483802,0.5782757,-0.013388202,-1.1410415,-3.7183044,12.177134,0.08521735,0.01038146,2.7322404,1.6620499,0.20166665,0.19195631,0.3242857,0.43787983
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-05-01-01-02-02.wav,0 days,0 days 00:00:03.670333333,37.591175,0.16077457,33.650505,38.495743,42.81521,9.164703,195.19408,115.087265,114.21167,180.12279,0.30898574,1.2557193,0.010191391,0.1294626,0.58164483,0.57145345,8.574446,5.666908,7.9131556,5.265201,0.03673179,1.5562896,1.3634162,0.63238215,5.6503477,0.89780194,6.593741,1.633494,13.546679,0.8314259,564.0027,0.4128794,1135.0209,0.2318055,-145.89728,-0.58791053,1621.4,0.18287028,-128.45772,-0.70112,2636.2817,0.13852227,-129.72821,-0.68033737,-6.479097,-1.5014472,18.180458,0.5703556,0.10205991,0.5200828,-0.010805017,-1.2839891,-1.4898908,8.773018,0.06678103,0.007410097,2.4590166,1.1080333,0.3375,0.205472,0.43400002,0.37897757
