file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-01-01-01.wav,0 days,0 days 00:00:03.870520833,30.351288,0.26794055,24.96743,27.436964,35.272305,10.304874,40.733765,174.21506,82.303505,15.530814,0.12358654,1.0284754,0.007125518,0.062405597,0.2619332,0.25480768,2.8231485,1.8139125,1.9145349,1.2703916,0.037357163,1.4458253,1.2103009,0.66044074,3.702181,1.3058172,5.7574677,1.0806627,24.0109,0.4774282,508.82626,0.4898247,1202.0686,0.43771884,-141.14494,-0.62136596,1462.9587,0.20929863,-140.0401,-0.586039,2517.1191,0.10866349,-141.45723,-0.560855,-14.054802,-0.8171818,22.142864,0.5405778,0.09182653,0.43302286,-0.012220218,-1.1974069,-0.52455115,9.976279,0.08281855,0.011652806,2.5906737,1.8372704,0.17285715,0.14359808,0.34857142,0.45542532
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-01-02-01.wav,0 days,0 days 00:00:03.903895833,31.656343,0.22253007,26.813164,30.585522,36.77354,9.960377,423.9268,334.08478,77.8221,32.24884,0.14230232,1.0650222,0.004728865,0.0753417,0.30491933,0.30019048,2.9381561,2.8955443,2.5996675,1.8049444,0.043738954,1.6742759,1.3343683,0.63195926,4.025708,1.2593715,4.0755086,1.653605,22.593199,0.46846512,499.95578,0.46397737,1124.016,0.22015178,-140.41844,-0.6259648,1484.7434,0.21569122,-138.1901,-0.61222625,2548.4512,0.124386795,-140.88333,-0.57303035,-12.408345,-0.7985783,22.169626,0.47332776,0.10362509,0.28335997,-0.010811529,-1.4483497,-0.3450796,8.840208,0.07485396,0.010549376,2.3136249,1.8229167,0.17571428,0.1592713,0.35,0.43074688
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-02-01-01.wav,0 days,0 days 00:00:03.903895833,25.106546,0.117814325,22.187475,25.62995,28.009125,5.8216496,123.06029,149.54842,25.57759,24.371899,0.1370895,1.1101936,0.0034988536,0.057516735,0.30236465,0.2988658,2.2287686,1.5391886,1.9162782,1.4163208,0.026464615,1.035808,1.0709677,0.72610223,3.851354,0.87281847,1.8977109,2.282804,21.836603,0.29023877,485.49957,0.44908324,1126.2192,0.25808895,-133.16974,-0.6793483,1443.5972,0.20798112,-135.40819,-0.63582754,2467.2878,0.13389306,-137.81197,-0.6007959,-12.911983,-0.58574784,21.533125,0.43368968,0.08327357,0.3909443,-0.0123212505,-0.85232514,-1.4857002,10.257478,0.061307516,0.010416681,2.3136249,1.3020834,0.264,0.07939773,0.40166667,0.41993716
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-01-02-02-01.wav,0 days,0 days 00:00:03.837166667,26.67012,0.12212117,23.517036,27.08656,29.378498,5.8614616,259.927,385.2098,11.537327,25.162302,0.13985592,1.2118393,0.002999682,0.037625507,0.28213346,0.27913377,1.9966689,1.6051819,2.3419325,2.267943,0.021593157,1.2888362,0.8955458,0.8316492,4.479156,0.8625893,1.9694732,2.3451855,23.888367,0.26856327,564.71454,0.4866494,1095.973,0.32272965,-137.24933,-0.64841014,1549.0599,0.24057727,-138.87538,-0.61230445,2595.6655,0.13537915,-141.49156,-0.57398367,-12.614159,-0.59916097,21.22358,0.39748868,0.09173985,0.3375927,-0.014520457,-0.68229276,0.645847,8.218357,0.06002352,0.013306466,1.3089006,1.061008,0.31,0.16807735,0.48799998,0.4533167
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-01-01-01.wav,0 days,0 days 00:00:04.304291667,37.311768,0.17156301,33.614033,37.16919,40.856445,7.2424126,166.04813,110.842285,27.64474,39.788605,0.3654489,1.1223538,0.025374115,0.2156523,0.6378536,0.6124795,6.4887953,2.8551648,4.7918615,3.098194,0.05463172,2.0723345,1.1800411,0.7015185,6.3073754,0.8988906,6.6924596,1.8328363,20.949114,0.54003596,616.74506,0.41887516,1190.0155,0.2822448,-145.02927,-0.59294873,1617.4528,0.22029047,-130.4179,-0.6738105,2738.8125,0.15604189,-132.23956,-0.64086825,-10.245803,-0.99366015,22.826876,0.50803506,0.119600706,0.2708426,-0.013312592,-1.2191695,0.048222847,10.347608,0.08659428,0.008451391,2.3310022,1.4150944,0.26166666,0.18827432,0.36285713,0.4341071
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-01-02-01.wav,0 days,0 days 00:00:04.104104167,39.23914,0.19019954,34.14786,37.36927,42.879684,8.731823,313.8497,197.12192,409.33163,686.9056,0.3804132,1.1414746,0.011724265,0.16904736,0.7556221,0.7438978,9.586106,4.5231915,7.069002,5.1407576,0.039832085,1.1609346,1.3686457,0.6387316,5.511336,1.1253334,8.894389,1.0679355,19.679651,0.63344055,645.8653,0.48903915,1113.5249,0.29754657,-147.4907,-0.56380767,1669.6276,0.22767551,-126.71515,-0.6871495,2744.3557,0.16272812,-128.13766,-0.65852845,-10.412472,-1.0064942,19.521433,0.6453224,0.123587824,0.2639553,-0.014880675,-0.91929597,2.6294746,5.723971,0.09421223,0.009329992,2.9339855,1.2376238,0.322,0.290131,0.3866667,0.46280542
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-02-01-01.wav,0 days,0 days 00:00:04.037375,32.74417,0.19510154,29.825745,33.837498,38.16798,8.342236,179.9885,64.35315,64.61292,47.640495,0.3619721,1.2031771,0.010222677,0.18523057,0.7291986,0.7189759,5.209534,4.1109495,7.0396113,4.777832,0.03550711,1.7952138,1.1312132,0.93727386,5.8356113,0.9272452,6.856448,2.6423159,22.552614,0.4011465,674.6192,0.48480263,1137.8545,0.25525543,-128.5746,-0.70636,1722.5779,0.2524795,-121.94871,-0.7270331,2806.0151,0.1886676,-123.95601,-0.6956771,-12.27317,-0.7139889,21.196075,0.4777548,0.11423069,0.26849085,-0.017021095,-0.8651964,-2.836477,12.770111,0.069463685,0.0065666796,1.7412935,1.511335,0.275,0.1918984,0.3633333,0.34941223
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-07-02-02-02-01.wav,0 days,0 days 00:00:04.371020833,33.348736,0.24092579,29.005283,34.03662,39.35243,10.347145,103.96341,85.136,144.2698,82.48448,0.34593722,1.20072,0.0058079357,0.15762284,0.64213425,0.6363263,8.197987,5.576405,8.67104,4.578905,0.08787866,1.6229546,1.1911234,0.63023055,4.6579127,1.1243064,5.209307,1.6036733,20.67665,0.4529875,722.2297,0.4770045,1049.7069,0.33033276,-135.95914,-0.6638578,1754.9069,0.23041378,-126.30615,-0.7077122,2754.1055,0.14655277,-127.85355,-0.68368477,-12.1133375,-0.6729379,20.905863,0.41630644,0.11793153,0.31634563,-0.013990951,-1.1144258,-0.5319578,9.991721,0.0662199,0.009858942,1.8348624,0.46403712,0.875,0.24499999,0.83666664,0.3209707
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-07-01-01-01-02.wav,0 days,0 days 00:00:03.670333333,34.398838,0.10527127,31.687395,34.9189,36.968765,5.28137,128.41736,79.96837,73.41341,89.5447,0.16678928,1.2456585,0.0010339657,0.06887302,0.30556756,0.3045336,4.262943,3.4343445,4.4826045,2.7361934,0.054310154,1.3402414,1.6883339,0.7985317,3.6077728,1.6591551,7.7818074,1.5170709,17.166872,0.5733938,593.1015,0.47298172,1132.2816,0.29298788,-143.76102,-0.6001313,1628.3214,0.1846543,-135.07349,-0.64811385,2747.9573,0.1381118,-136.73169,-0.6214891,-9.444074,-0.9361632,20.337358,0.4426802,0.11986575,0.22393106,-0.011719218,-1.3679788,-0.53689057,9.402233,0.10217497,0.015239117,2.1857924,1.3850416,0.24399999,0.12815616,0.38,0.4657968
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-07-01-01-02-02.wav,0 days,0 days 00:00:03.636979167,32.16619,0.16999954,27.448502,33.886505,36.494614,9.046112,200.40211,113.3428,46.599506,30.358728,0.15918227,1.2969072,0.0010424419,0.030952621,0.27170417,0.2706617,6.661086,5.4123526,5.1919765,3.0150087,0.08971821,1.5068606,1.7556777,0.6939928,2.9445126,2.1963744,6.0160294,1.28813,17.355633,0.47877786,505.16806,0.44883168,1130.9866,0.22140028,-144.06387,-0.6067571,1552.6223,0.18675742,-135.59856,-0.64825296,2619.2097,0.12497356,-137.75298,-0.61506194,-9.452723,-0.9489977,19.736078,0.47005913,0.1244357,0.17794354,-0.013019351,-1.1531789,0.17898072,8.058173,0.10769344,0.014278074,2.486188,1.4005603,0.234,0.10326665,0.38166666,0.45743546
