file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-01-01-01.wav,0 days,0 days 00:00:03.670333333,28.21954,0.10226119,26.74833,28.024853,30.861404,4.1130753,324.39804,578.40704,39.984306,31.091625,0.2216454,1.2956479,0.0077142674,0.025245767,0.44263616,0.4349219,5.7809505,4.0397825,5.5690584,3.8313656,0.026019674,1.1616462,1.3710811,0.6473163,4.1051664,1.0638556,2.0157275,2.115053,18.899956,0.34235248,517.91705,0.5130708,1188.9065,0.22968036,-127.663284,-0.7311556,1491.3123,0.2063434,-128.2908,-0.6939581,2503.7202,0.1313614,-130.02711,-0.66767436,-12.0434265,-0.5230478,20.007347,0.37020636,0.0827118,0.36549833,-0.010945447,-0.9478831,-8.414615,17.014385,0.028478967,0.0051797107,2.4590166,0.83102494,0.4633333,0.41483596,0.53749996,0.48334122
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-01-02-01.wav,0 days,0 days 00:00:03.636979167,30.818577,0.08563284,29.07449,30.389648,33.46085,4.38636,242.55487,305.49014,25.734186,18.690063,0.2181091,1.2331127,0.009168976,0.027775291,0.4743709,0.4652019,4.3122225,2.9126565,4.902886,2.4352477,0.025368035,1.0459323,1.3766849,0.6999123,5.101473,0.673298,1.7907107,4.2873416,21.38984,0.31842396,496.79385,0.5121797,1182.4038,0.22868659,-130.73274,-0.70470244,1484.7094,0.17947681,-127.22381,-0.7004524,2529.128,0.123089135,-129.70143,-0.66297996,-11.586751,-0.48817873,20.028679,0.36480233,0.114624485,0.27806228,-0.009802973,-1.1209029,-1.4184366,9.872459,0.06587914,0.011192231,2.2099447,1.1204482,0.345,0.2583118,0.42,0.45764613
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-02-01-01.wav,0 days,0 days 00:00:03.436770833,27.151882,0.27461925,23.392857,25.285574,28.071205,4.6783485,203.64037,140.52342,12.613346,33.937202,0.1939328,1.247822,0.008243049,0.02563379,0.41758084,0.4093378,5.217014,3.9545946,4.1109276,2.649468,0.025969852,0.95636636,1.3014414,0.7964733,3.9416664,0.83156157,2.737749,2.021374,17.425972,0.8248702,513.35034,0.46773556,1189.7222,0.26501438,-130.96832,-0.69406354,1477.7698,0.22280806,-129.93935,-0.67704165,2533.6018,0.14054318,-131.52168,-0.65480167,-10.537172,-0.81138086,18.194397,0.6077297,0.061551757,0.54866034,-0.011024512,-1.0053799,-9.101188,18.464722,0.01937586,0.007546556,2.3391814,1.1869437,0.315,0.13238202,0.5025,0.46756682
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-01-02-02-01.wav,0 days,0 days 00:00:03.703687500,27.1578,0.19074455,25.58751,26.391394,27.204054,1.6165447,211.11647,205.74493,155.21533,145.67426,0.19578671,1.2015579,0.0050350083,0.04602575,0.3906085,0.38557348,4.741351,3.382483,4.2152333,3.2275622,0.024398293,1.3806946,1.3507332,0.80991995,4.572038,0.7302836,2.1865985,4.5579596,19.56028,0.3521024,530.8663,0.46262333,1189.1617,0.22030231,-131.31744,-0.70252466,1500.9124,0.19111688,-132.02275,-0.66848564,2509.5608,0.12624137,-133.1338,-0.64215535,-11.230277,-0.6985521,19.082146,0.4650819,0.07784333,0.34748784,-0.009617771,-1.0230985,-2.2530012,10.36288,0.043433677,0.008983212,2.4390244,1.0989012,0.33249998,0.34178755,0.444,0.44274595
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-01-01-01.wav,0 days,0 days 00:00:05.005000,35.42002,0.12237106,31.292658,35.64323,39.118298,7.8256397,35.614376,50.45349,41.44099,15.520784,0.51724195,1.2782469,0.06853002,0.1979415,0.8951099,0.82657987,13.204714,9.468379,11.27094,9.1847515,0.02988525,1.0608982,1.2392209,0.85572594,6.1767244,0.7146927,7.365534,0.9396887,16.65274,0.41927278,805.93005,0.38294512,1010.7091,0.32327706,-149.4547,-0.54818684,1840.8971,0.18694517,-143.00386,-0.5800413,2849.8215,0.12735437,-143.5869,-0.5723741,-8.643115,-0.7086031,16.608885,0.422943,0.08133298,0.61430895,-0.008711079,-1.4379346,-1.1177577,11.999437,0.022038734,0.010847017,1.8036073,1.0121458,0.302,0.26880476,0.5533333,0.4147958
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-01-02-01.wav,0 days,0 days 00:00:04.237562500,38.5475,0.17183247,35.491737,39.168518,41.107716,5.6159782,481.60748,582.08813,63.981365,23.48175,0.62796575,1.1259683,0.0774906,0.33128476,1.1606972,1.0832067,10.080567,6.7901077,11.751606,7.910066,0.041569747,1.5878139,1.159948,0.7533567,6.7687817,0.80132085,8.168425,1.4097682,15.453068,0.60936844,752.0372,0.41953725,1044.6752,0.30854326,-136.76031,-0.63449633,1773.4337,0.20406537,-119.73058,-0.74577796,2794.4478,0.13459605,-121.638,-0.7160668,-7.3188047,-1.1799778,18.307917,0.46663773,0.10121072,0.38086432,-0.0050541307,-2.2129533,-0.16641694,11.922344,0.06790844,0.011406943,2.1327016,1.9184651,0.2175,0.17858821,0.28125,0.37058863
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-02-01-01.wav,0 days,0 days 00:00:03.970625,37.544247,0.1414421,36.481956,39.158306,40.35067,3.8687134,344.7895,267.19708,16.279339,21.473372,0.93298584,1.1714926,0.10043507,0.26755297,1.8732414,1.7728064,19.785791,11.064168,18.307938,9.642971,0.033957794,1.6716928,1.0923014,0.70952743,6.7993555,0.6655763,5.9628525,3.814911,12.265769,1.844135,940.4902,0.2621222,880.56476,0.352897,-128.50084,-0.7157371,1991.0222,0.16399123,-125.35416,-0.7181738,3053.2947,0.111654215,-126.36928,-0.70057976,-5.944481,-1.1914444,16.93794,0.48165354,0.100530945,0.3219019,-0.010674107,-1.3847499,-0.2628319,10.265424,0.059533898,0.011430611,1.7676768,1.0230179,0.39,0.35035697,0.5675,0.49469054
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-06-02-02-02-01.wav,0 days,0 days 00:00:03.903916667,37.050083,0.120140366,35.700138,37.672714,39.895584,4.195446,124.12022,77.43483,44.80774,7.6193895,0.68586713,1.2496494,0.06222403,0.21539669,1.3005306,1.2383065,15.287704,10.931292,13.655274,6.31732,0.035521235,2.2339354,1.2663064,0.639895,6.6546283,0.63196224,7.6120486,1.0859189,16.866117,0.51272494,695.6738,0.4980345,1065.3789,0.30924213,-143.16307,-0.59990764,1679.7761,0.2399623,-123.362915,-0.73299086,2721.2634,0.14328644,-125.82678,-0.6954484,-8.451243,-0.72769713,17.909134,0.40434125,0.09534306,0.3665618,-0.007930306,-1.2467235,-1.0472337,13.065948,0.051561695,0.011606102,2.0565553,0.78125,0.52666664,0.26849374,0.5475,0.47876796
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-06-01-01-01-02.wav,0 days,0 days 00:00:03.636979167,42.403873,0.040545084,40.758766,42.15657,43.97017,3.211403,33.58219,36.206432,28.083887,26.308489,0.30284783,1.2068683,0.010858344,0.08093543,0.61350036,0.602642,6.106057,5.08383,7.234263,4.5523877,0.018338557,1.7119288,0.9402063,0.7245704,8.404249,0.8319314,6.2688656,1.4008462,12.770139,0.8762196,738.5126,0.4206221,1139.3591,0.33925182,-149.06506,-0.5489543,1690.7617,0.19992307,-123.638176,-0.73402107,2800.5852,0.12700097,-125.25816,-0.70748675,-7.5844736,-1.1227714,17.347906,0.5191483,0.1288245,0.25815997,-0.008036488,-1.7597079,3.839394,3.2437732,0.1088282,0.009976098,1.9337018,0.84033614,0.48333332,0.09533566,0.68,0.46783188
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-06-01-01-02-02.wav,0 days,0 days 00:00:03.737062500,42.999435,0.04812788,41.698807,42.606995,44.81368,3.114872,32.8256,12.08383,38.597538,47.788486,0.29882988,1.261972,0.0122386655,0.0647151,0.5535203,0.54128164,7.826881,6.405752,8.534766,4.7979884,0.015505504,1.3699188,1.0079823,0.62412363,9.048105,0.61582714,5.0291247,1.6702935,12.003698,0.8179688,843.2612,0.41668364,1111.6168,0.33882484,-141.46352,-0.59961236,1778.6106,0.2159216,-123.48712,-0.7330334,2899.5276,0.1496813,-125.05382,-0.70815265,-7.0666394,-1.2666439,17.91484,0.47606206,0.13120854,0.30875918,-0.004222983,-3.3357835,2.720968,4.871706,0.11594096,0.009895114,1.8817204,1.0899183,0.37,0.4760777,0.5225,0.49876723
