file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-01-01.wav,0 days,0 days 00:00:03.470145833,28.360964,0.096043974,27.025383,28.330723,30.857138,3.8317547,38.18503,13.609609,21.805145,20.585003,0.17161976,1.301374,0.0051690554,0.017775778,0.3972329,0.39206383,5.7114944,2.7959406,3.844663,2.2036793,0.046023678,1.9308372,1.5750946,0.7398385,3.7354355,0.93675643,2.4210148,2.9000297,22.761911,0.34338748,546.2332,0.53954655,1129.2876,0.22676687,-132.06871,-0.6939984,1521.9062,0.22107477,-133.28146,-0.65357,2545.2107,0.14144197,-135.40475,-0.62260693,-13.399646,-0.5199617,21.067707,0.4057562,0.09249357,0.3202337,-0.015276008,-0.7368203,-2.2468376,10.86092,0.05493425,0.009822168,2.3121388,0.87976545,0.41,0.2728858,0.5275,0.45805976
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-02-01.wav,0 days,0 days 00:00:03.470125,28.093277,0.104256205,26.137873,28.165636,30.960896,4.823023,71.55335,44.999924,-3.7361603,38.801636,0.19240685,1.3802015,0.0036704987,0.021664694,0.40374684,0.40007633,5.7909904,3.0100713,4.9562173,2.2320225,0.052056976,1.3293498,1.465798,0.716157,3.1536078,1.151814,1.9560845,3.2505155,18.09902,0.44467115,571.66406,0.5243638,1068.7242,0.29773158,-133.2784,-0.68128854,1575.122,0.24040002,-131.93787,-0.67375803,2560.382,0.13007878,-133.71992,-0.647166,-10.491194,-0.60421836,18.079899,0.46677148,0.090766564,0.33164895,-0.012424225,-1.0460744,-5.999138,14.930595,0.04548465,0.010487128,2.0231214,0.87976545,0.4133333,0.35235712,0.525,0.495101
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-01-01.wav,0 days,0 days 00:00:03.536854167,26.80905,0.08533465,24.856455,27.097775,28.884766,4.028311,158.49062,289.74243,42.548717,23.666393,0.15694135,1.2714124,0.0034432411,0.03260392,0.32505947,0.32161623,4.4466896,2.7733405,3.1442163,1.8056668,0.026522998,1.0755894,1.4800498,0.77999026,4.1370993,0.7754878,2.381994,2.0590227,22.122345,0.36058187,459.37744,0.46708336,1170.4272,0.23913917,-131.43893,-0.7018522,1410.2717,0.21070686,-133.35294,-0.6595308,2476.8748,0.11279636,-136.08917,-0.6186548,-13.7616415,-0.5311751,21.972816,0.36967286,0.09071669,0.26372632,-0.01579235,-0.85139954,-0.26298985,9.377697,0.06606552,0.012887979,1.9886364,0.86455333,0.4133333,0.28778848,0.71666664,0.43021956
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-02-01.wav,0 days,0 days 00:00:03.703708333,26.414188,0.07598509,24.860573,26.16366,27.98399,3.123417,232.39732,310.38687,35.154102,20.592354,0.16965015,1.1819457,0.0055775465,0.018812904,0.36667854,0.361101,4.2410975,2.7259114,3.391404,2.0900512,0.031541836,1.4551085,1.1506318,0.5971637,4.514757,0.61879766,3.6230493,1.248036,20.027826,0.40186828,438.08118,0.4600201,1162.6593,0.19522446,-131.12813,-0.7073022,1380.0446,0.2064422,-132.38899,-0.6699386,2438.6335,0.10972137,-134.45111,-0.63872886,-13.037167,-0.55039155,20.963469,0.4019592,0.083916925,0.30322233,-0.015348731,-0.68531406,-1.6405176,10.301579,0.045838684,0.011686173,2.1680217,0.82417583,0.43666667,0.32724437,0.565,0.440142
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-01-01.wav,0 days,0 days 00:00:03.670333333,34.288193,0.09648247,31.88669,33.992844,37.641438,5.7547474,49.43526,25.819061,6.2131524,27.509138,0.23950216,1.320631,0.0078029893,0.023868676,0.47884187,0.47103888,8.752122,4.842956,5.101761,2.534611,0.033865146,0.9061372,1.5998672,0.6260255,4.880901,0.9014258,5.4272814,1.7577181,20.18696,0.40540484,561.9984,0.5425135,1083.094,0.2461108,-144.84872,-0.5913803,1524.2936,0.23527928,-132.28133,-0.6666532,2536.7468,0.13815053,-134.63895,-0.63241446,-11.601998,-0.64441407,20.146824,0.40960112,0.119809486,0.26906702,-0.01393273,-0.91084355,0.28178808,8.241871,0.07089036,0.012436315,2.7322404,0.83102494,0.43666667,0.33983657,0.74,0.4456456
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-02-01.wav,0 days,0 days 00:00:03.636958333,33.48536,0.10049628,31.802013,33.41911,35.896893,4.094879,113.937164,100.56774,11.214113,19.981468,0.2858157,1.3642023,0.010425472,0.043358073,0.5647212,0.5542958,10.626364,7.6041903,6.5926633,3.1852744,0.041945104,1.343116,1.3559419,0.7486169,5.6145186,0.7915521,5.0815153,1.8678522,18.20103,0.41575766,483.56866,0.5667319,1185.0424,0.24575207,-145.28073,-0.5869216,1446.2634,0.21779028,-129.27985,-0.68979764,2490.5923,0.13726997,-131.63551,-0.65414536,-10.023134,-0.6186035,19.82929,0.33770075,0.11348586,0.2706285,-0.010674771,-0.8743486,-3.1127098,13.62374,0.046924397,0.010700178,2.486188,1.1204482,0.33249998,0.35216296,0.42999998,0.4782886
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-01-01.wav,0 days,0 days 00:00:03.937250,31.879889,0.09319984,29.523552,32.501026,34.431736,4.908184,52.16003,40.18887,60.232986,31.982515,0.38046318,1.2062275,0.01052297,0.12475403,0.71692073,0.7063978,10.796503,7.028862,9.877244,7.217802,0.050826304,1.7523109,1.1737689,0.75812095,4.9394116,0.8213691,4.207462,2.3016896,16.587238,0.37372917,695.56744,0.49946082,1100.2809,0.2711111,-126.7932,-0.73042697,1667.9291,0.2548583,-119.9398,-0.77079505,2733.7705,0.1390333,-122.14998,-0.7355469,-9.5659895,-0.60889965,18.117756,0.41409227,0.11508965,0.24626665,-0.012325091,-1.0485449,-0.6826418,10.118448,0.04156328,0.012538747,2.2959185,0.7751938,0.5433333,0.3196178,0.54249996,0.46402448
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-02-01.wav,0 days,0 days 00:00:03.937270833,31.276716,0.09591051,29.305344,31.59162,33.897778,4.592434,226.28613,219.22617,-4.7782364,33.82317,0.36118197,1.2225267,0.0047705453,0.11969194,0.77256113,0.7677906,9.379121,5.497617,7.003868,3.9318054,0.0321327,2.0620062,1.3197001,0.5729392,4.7892284,0.870118,2.3629284,4.080255,16.269766,0.37320262,610.68994,0.52924144,1128.77,0.23139288,-130.01166,-0.7034203,1628.8285,0.24667153,-118.85912,-0.77392095,2640.3313,0.14946483,-120.95925,-0.73937905,-9.603559,-0.5738272,19.158747,0.37519822,0.11160202,0.26390955,-0.011978016,-1.0282344,-0.11984394,7.523793,0.06071514,0.012027348,2.2959185,0.7751938,0.5566667,0.31899145,0.70666665,0.39381328
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-01-02.wav,0 days,0 days 00:00:03.603604167,37.440506,0.12254185,33.43709,37.317142,41.814175,8.377083,138.97601,94.47214,19.53419,14.786485,0.28677455,1.4879905,0.010781005,0.032854054,0.45818287,0.44740188,6.8534064,4.051293,8.602103,4.0539994,0.019345956,0.9785255,1.5167145,0.7749262,6.3113565,0.8287001,4.6660104,1.7805775,10.880071,0.89400923,622.4314,0.5024404,1077.9423,0.3703762,-134.39127,-0.66573685,1667.2926,0.21127811,-125.64839,-0.7222325,2710.4265,0.12711997,-127.78873,-0.6882927,-5.963844,-1.3456928,16.561968,0.50317115,0.120475166,0.2773743,-0.008042763,-1.9052286,0.11950435,6.9060435,0.082259074,0.009770312,1.6713092,1.1299435,0.345,0.2927883,0.414,0.47885695
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-02-02.wav,0 days,0 days 00:00:03.703687500,37.525978,0.12008162,34.34516,36.415604,42.13788,7.792717,55.23102,55.349537,21.004595,12.738091,0.27430102,1.5008373,0.007374941,0.022067249,0.45874617,0.45137122,7.204806,5.658508,6.5001187,3.9455597,0.028600944,1.4190803,1.2850351,0.69142765,6.2429705,0.8798993,5.588203,1.7703338,11.387923,0.79069084,593.2509,0.46066043,1079.0111,0.2997149,-139.49388,-0.62544185,1652.709,0.17716931,-127.35056,-0.6995149,2707.7788,0.12681395,-128.21904,-0.6854295,-6.247049,-1.308206,15.007657,0.51952267,0.12823227,0.2439752,-0.00914988,-1.4896384,-1.9604125,9.032214,0.0789554,0.008716014,2.1680217,1.3736265,0.278,0.17814602,0.53,0.47597265
