file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-01-01.wav,0 days,0 days 00:00:03.837166667,25.805344,0.08453804,23.64439,26.132208,27.705132,4.0607414,136.82724,115.73101,25.082874,16.087492,0.106307186,1.2933058,0.002151777,0.026125643,0.21277384,0.21062207,2.7911658,1.2777404,2.9151273,1.6618227,0.030920766,1.5053215,1.2987854,0.8613249,4.095017,0.8794962,6.5274663,0.8183962,21.945528,0.29979983,551.5152,0.54601055,1173.4232,0.21587084,-140.2478,-0.61702394,1516.2819,0.22323535,-140.95471,-0.59126914,2502.622,0.1366539,-142.8979,-0.5638166,-13.014868,-0.45614937,21.00501,0.37039593,0.07961924,0.34945762,-0.010317415,-1.0171862,-1.4512793,8.1936245,0.085465,0.012156439,2.356021,1.591512,0.19666666,0.050221726,0.35142857,0.42689672
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-02-01.wav,0 days,0 days 00:00:03.570229167,23.949066,0.07507559,22.715223,23.189398,25.770948,3.055725,242.7417,295.92227,24.234917,14.800494,0.106168896,1.2963607,0.0030548305,0.018057834,0.2105037,0.20744887,2.4903605,1.2891917,2.466354,1.5137242,0.022333222,1.1447152,1.2005416,0.66913444,3.299943,1.1275237,3.5983942,0.88983375,21.922209,0.3905217,544.8228,0.6455657,1165.0685,0.27014166,-138.5583,-0.6441398,1499.7996,0.25231367,-141.03345,-0.60436344,2501.5703,0.1417054,-143.22797,-0.573013,-13.143418,-0.5602489,20.24869,0.38437968,0.07179607,0.37395126,-0.010216289,-1.3929849,-2.7507174,11.080707,0.07125692,0.009755475,2.247191,1.1396011,0.2725,0.11882234,0.46599996,0.4940283
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,24.26503,0.063494876,23.118805,24.031635,25.64519,2.5263844,217.30844,195.55008,19.374449,9.203443,0.09592465,1.3601466,0.0014550183,0.0061878194,0.21594617,0.21449114,2.073197,1.1087643,1.8971361,1.030288,0.017601399,0.8106057,1.4729725,0.8151855,3.6746445,0.83229923,4.3318367,0.8100497,22.134087,0.3331377,530.10345,0.54501873,1139.5143,0.2712306,-139.71175,-0.6317469,1500.6515,0.2531739,-141.11458,-0.6031642,2495.281,0.12865475,-143.22044,-0.57246876,-12.362691,-0.5647232,20.19106,0.39335734,0.07741699,0.27166858,-0.011387028,-0.93308955,-0.36486244,8.035192,0.0944548,0.015823463,2.0057306,1.1627908,0.26749998,0.14788087,0.45599997,0.4873438
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-02-01.wav,0 days,0 days 00:00:03.370041667,24.39618,0.087990664,22.433584,24.2569,26.340778,3.9071941,252.45833,358.24893,31.001068,12.7097,0.1118999,1.3714474,0.0020964888,0.01069905,0.2473603,0.24526381,3.305627,1.7560422,3.4423985,2.8231747,0.030077837,1.0371882,1.4844776,0.7144142,3.3413975,0.9513697,2.259702,1.8650825,20.849901,0.4187175,471.79727,0.47758856,1214.4025,0.20264806,-142.39717,-0.6110216,1446.2687,0.20004812,-143.30988,-0.5857293,2475.323,0.107016504,-145.42656,-0.5555107,-12.279986,-0.6525242,19.898918,0.45049462,0.079710685,0.3431846,-0.010018907,-1.220213,-1.3530309,9.341856,0.074989855,0.012041584,2.3809524,1.5105741,0.19399999,0.124835886,0.444,0.45491096
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-01-01.wav,0 days,0 days 00:00:03.803791667,25.748932,0.06444838,24.561691,25.82392,27.18587,2.624178,84.35888,68.10449,18.403975,20.029028,0.12613392,1.2061259,0.0039576683,0.023556033,0.26269114,0.25873348,3.668557,2.5909486,2.5700822,1.1887918,0.018771436,0.88535196,1.2388418,0.9039147,4.585412,0.7857937,5.130797,1.0151998,26.241465,0.35901132,495.2507,0.46949565,1188.7297,0.2673207,-130.11075,-0.70355356,1475.061,0.19676703,-134.13878,-0.6400993,2522.9116,0.13080406,-136.46767,-0.60643953,-15.846777,-0.5563535,24.288576,0.3984293,0.076752745,0.3161936,-0.013398336,-0.96171933,-3.373479,11.4756565,0.047887295,0.012399268,2.6385224,1.3368984,0.264,0.14388885,0.385,0.4496943
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-02-01.wav,0 days,0 days 00:00:03.703708333,27.72769,0.115930334,25.53325,27.378843,30.615286,5.082035,55.09122,25.59966,20.64672,16.771753,0.18398842,1.4139398,0.0020409361,0.020436583,0.3585334,0.3564925,5.459979,2.8971317,4.843364,2.5865395,0.037064556,1.9010373,1.4350358,0.6481721,4.4349136,0.8923481,3.2170775,2.2561867,20.997568,0.3037952,534.3869,0.5421475,1247.5897,0.31394494,-131.8185,-0.701602,1540.018,0.20715176,-130.68997,-0.6800278,2568.1045,0.13737029,-132.7638,-0.6484145,-12.684006,-0.42672417,21.334166,0.27915516,0.0994397,0.2504515,-0.011768724,-0.9910918,0.6821218,6.270699,0.09050727,0.014453492,2.1680217,1.0989012,0.33249998,0.2074096,0.444,0.48836872
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-01-01.wav,0 days,0 days 00:00:03.737083333,28.024414,0.09949301,25.215038,27.807829,31.12389,5.9088516,221.86888,258.68127,66.184814,82.9321,0.20211712,1.3094602,0.0024410724,0.022296377,0.44063962,0.43819854,5.8275795,3.7483525,4.352345,3.3365347,0.041805133,1.8238509,1.3322694,0.7136591,4.6934085,0.6883735,0.11105331,50.87449,20.068521,0.37051207,629.91077,0.48626906,1163.1355,0.24431834,-130.92938,-0.69891846,1651.2908,0.22047973,-129.40341,-0.6832997,2663.0642,0.12803835,-131.08557,-0.65852547,-11.827239,-0.53494817,19.359457,0.39947882,0.09810795,0.29441947,-0.01062924,-1.0974147,-0.5285028,7.289068,0.08753634,0.01249202,2.1505377,1.0899183,0.345,0.3207413,0.44,0.45882457
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-02-01.wav,0 days,0 days 00:00:03.737062500,28.032852,0.09412224,26.030704,27.853386,30.345825,4.3151207,151.69392,90.3602,82.78319,162.79613,0.23794557,1.2344227,0.002791154,0.033124067,0.5087403,0.50594914,6.596716,3.7842789,4.864612,3.7891533,0.020340191,0.8656728,1.1614041,0.5679437,4.231342,0.69997966,2.7633545,2.2173433,19.336527,0.35577342,585.85614,0.5189817,1192.238,0.2511409,-127.10541,-0.7275277,1575.7767,0.23039725,-125.57543,-0.7180564,2634.2603,0.12796192,-127.17081,-0.6934467,-11.472629,-0.6427339,19.226494,0.46590412,0.09448459,0.31374213,-0.0129623655,-0.92795575,0.7880679,5.91405,0.07533543,0.012167341,2.1505377,0.8174387,0.48666668,0.3091206,0.53499997,0.44522464
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-01-02.wav,0 days,0 days 00:00:03.837166667,36.70359,0.060882114,34.923607,35.613667,39.063618,4.140011,66.62169,86.66797,12.978362,9.210925,0.13970126,1.2591898,0.0010339657,0.032747284,0.2529983,0.25196433,4.0147448,3.0126948,3.3980293,2.0975142,0.01256253,1.1110905,0.9546859,0.8275668,10.090897,0.4028998,8.077059,1.3682569,21.927816,0.48260427,548.216,0.3927448,1212.7283,0.20247805,-142.46877,-0.6063565,1554.852,0.18796584,-135.39044,-0.6278854,2626.4692,0.12480238,-138.44202,-0.5835835,-11.904298,-0.70781195,24.034054,0.46116582,0.12410057,0.24653178,-0.0128211435,-0.9691286,-3.7525687,11.301656,0.108076826,0.011857337,2.094241,1.32626,0.25399998,0.14051335,0.39166668,0.47358263
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-02-02.wav,0 days,0 days 00:00:03.770437500,37.009396,0.05833565,35.26735,36.42892,38.748283,3.4809341,108.948395,75.47805,167.8533,309.47986,0.15035129,1.3347881,0.0010339657,0.0351147,0.26159403,0.26056007,4.216094,2.8691893,3.6331851,2.1664844,0.021642016,2.3235948,1.1084075,0.9153158,9.015947,0.44746292,8.272379,1.4149334,22.301365,0.5090405,604.0887,0.41873422,1211.1398,0.22319977,-143.368,-0.6020904,1589.9937,0.20443243,-135.09702,-0.63438123,2666.0208,0.14381577,-138.28697,-0.5877647,-11.53726,-0.7339235,23.22369,0.46064022,0.12111213,0.24260892,-0.011962535,-1.1070081,-2.9635391,9.85934,0.10178121,0.012816867,1.8617021,1.6172508,0.21166666,0.09805044,0.32999998,0.44477925
