file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-01-01-01.wav,0 days,0 days 00:00:03.403395833,27.940023,0.16829869,23.981983,27.727356,33.356747,9.3747635,133.08177,146.03935,38.36934,83.13822,0.130757,1.4724655,0.0020206647,0.010519347,0.25160992,0.24958925,3.984747,2.1208873,4.059154,1.9379041,0.042774744,1.2487603,1.6880323,0.7940169,2.776382,1.0661275,2.4368,2.8773274,22.460487,0.27845392,572.701,0.58218616,1081.6935,0.24932063,-140.38545,-0.61966735,1529.0295,0.22749417,-140.88513,-0.59584755,2544.2175,0.13082041,-143.14336,-0.56364226,-12.222302,-0.6174646,21.177376,0.43730506,0.08333435,0.33300605,-0.012301159,-1.0718758,-0.21398868,8.474614,0.087217376,0.0145457005,2.0648968,1.7964072,0.17,0.06733003,0.3633333,0.4610375
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-01-02-01.wav,0 days,0 days 00:00:03.269916667,25.457859,0.13677251,23.199667,26.253952,27.889557,4.68989,87.1231,60.638664,62.534733,37.32713,0.13446552,1.5491077,0.0019477911,0.006025905,0.2480168,0.24606901,4.8159323,3.0708919,4.832928,2.3566854,0.06400132,1.5820597,2.230562,0.62945676,2.1533432,1.4521385,2.7696464,4.218662,19.616278,0.36836788,481.0938,0.50820196,1170.7394,0.19628279,-139.18677,-0.64591414,1458.3427,0.19535702,-139.41637,-0.61810094,2487.25,0.12994622,-141.5563,-0.5866637,-11.815102,-0.62092704,20.027037,0.45321733,0.083780736,0.27327144,-0.012314249,-0.9083646,-0.6138134,7.797373,0.08393312,0.015184141,2.4615386,1.2500001,0.2525,0.19096792,0.5225,0.48761535
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-02-01-01.wav,0 days,0 days 00:00:03.536875,28.157099,0.27110368,24.967396,26.11501,29.621323,4.653927,190.58798,248.69125,219.49176,263.03296,0.1510598,1.360478,0.003088534,0.023230072,0.29188567,0.28879714,2.9004123,2.0526125,2.6069958,1.8000737,0.024388652,1.132574,1.1558127,0.7202095,3.6146963,0.9538957,1.0151079,5.429905,18.743334,0.6496597,470.33954,0.45005637,1200.6611,0.1920387,-132.7825,-0.6830302,1394.6179,0.227439,-133.43134,-0.6468782,2491.2375,0.1332295,-134.89287,-0.61717635,-11.783262,-0.843922,19.629383,0.6050598,0.08065724,0.3515524,-0.0142972795,-0.9002462,-0.63509446,8.498115,0.0704292,0.012815577,1.9886364,1.734104,0.20333333,0.18811935,0.35,0.44918445
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-01-02-02-01.wav,0 days,0 days 00:00:03.269916667,29.031376,0.083701685,27.024324,28.751389,30.9536,3.9292755,147.68196,204.8844,16.830427,19.995361,0.16696543,1.4326433,0.001731901,0.006847086,0.38151497,0.37978306,5.436538,3.3972883,4.5986476,3.3244596,0.040835414,0.98424166,1.7441233,0.7845103,3.4366508,1.0572714,0.7026632,7.6186833,20.074457,0.39008057,504.72925,0.58136374,1174.4208,0.23950961,-143.44637,-0.6053069,1444.2627,0.25638703,-141.54549,-0.5990231,2512.8848,0.12731194,-143.67351,-0.56884986,-12.1017275,-0.66797405,19.815954,0.44304064,0.09864276,0.29374924,-0.015267844,-1.0464827,0.3138205,6.990753,0.08793772,0.013273414,2.1538463,1.2500001,0.24499999,0.14908051,0.53,0.46545675
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-01-01-01.wav,0 days,0 days 00:00:03.436750,29.426144,0.19187678,26.942505,29.020317,34.75788,7.8153763,86.78932,42.83914,125.63321,104.52819,0.25498462,1.4005839,0.0017547781,0.017489094,0.54126346,0.5395087,8.8049,5.8257794,7.3895335,3.296536,0.09674678,1.5317509,1.9848361,0.6432407,2.3394501,1.7435201,3.9976654,2.2314625,18.980768,0.40488228,535.54755,0.610499,1124.0056,0.26221994,-142.40193,-0.6154582,1509.7977,0.23307209,-132.62862,-0.6710267,2530.4175,0.13105425,-134.58267,-0.6421009,-10.3874,-0.66428983,18.837431,0.45805955,0.103355564,0.3112727,-0.013179986,-0.96958023,-1.879101,11.179067,0.06993122,0.014774727,2.3391814,1.1869437,0.295,0.2294014,0.5225,0.49281713
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-01-02-01.wav,0 days,0 days 00:00:03.570229167,31.813362,0.16661698,28.248348,31.045004,36.94317,8.69482,160.26772,77.58969,105.14184,103.73914,0.3101014,1.4243431,0.0015660739,0.016366411,0.5969234,0.59535736,9.633268,5.6959453,8.391945,4.488707,0.100041084,1.6851677,1.8793321,0.6711974,3.3049212,1.3512111,1.8835497,6.8402243,15.521255,0.9378056,626.3669,0.49453166,1136.5212,0.24543065,-137.92972,-0.6525239,1616.4933,0.22108875,-129.8087,-0.6935052,2678.5486,0.120483,-131.56683,-0.66667783,-9.260583,-0.81628263,18.319878,0.44077182,0.10022395,0.23215051,-0.011771045,-1.2155657,-1.2342188,10.182755,0.08134647,0.014691682,2.52809,0.85470086,0.4333333,0.3655437,0.53499997,0.4901275
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.704145,0.09771141,28.090626,29.455544,31.617111,3.5264854,360.98148,323.2738,19.799713,23.015518,0.2652023,1.2809577,0.001710108,0.02687966,0.54912883,0.5474187,7.731302,5.516867,6.141964,3.5535266,0.03777788,1.7035897,1.3852983,0.6916468,4.116658,0.84852153,0.7717157,8.132221,17.21342,0.34033132,554.7146,0.48589522,1171.082,0.23413914,-136.5576,-0.6591371,1575.3833,0.23527932,-134.09976,-0.6471836,2586.0264,0.13753846,-135.04323,-0.63290966,-10.344822,-0.6300014,18.691462,0.4879525,0.10241762,0.25345454,-0.014945892,-0.8327707,0.8823485,7.4288707,0.08844898,0.015560084,2.5787966,0.8720931,0.41,0.27471197,0.53499997,0.45013884
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-08-02-02-02-01.wav,0 days,0 days 00:00:03.269937500,33.98586,0.16419436,32.617893,35.35442,37.479263,4.86137,220.40198,150.3066,-29.91475,59.05496,0.31415126,1.391929,0.0029866956,0.019142086,0.7463002,0.74331355,11.849721,5.5675035,9.10978,6.142202,0.06373667,1.86892,1.4987011,0.7830778,4.671183,0.9043583,7.053733,1.0225161,19.852367,0.4116463,599.6895,0.5457963,1128.2765,0.25140902,-160.1199,-0.47304726,1583.248,0.24997677,-137.59091,-0.63080454,2579.9482,0.13677981,-139.56876,-0.6026764,-9.592255,-0.49802735,19.758284,0.43387675,0.113710575,0.3431706,-0.01220884,-0.91825,-2.3097708,10.49523,0.057020873,0.01136548,2.4615386,0.93750006,0.35333332,0.23271345,0.5175,0.46788752
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-08-01-01-01-02.wav,0 days,0 days 00:00:03.536854167,40.142017,0.16409145,35.827774,39.130398,45.124252,9.296478,77.789406,26.49929,54.979206,25.443,0.28074524,1.302024,0.010926262,0.053610064,0.60249907,0.5915728,6.8470845,3.8705902,9.255264,5.354917,0.05642163,1.2207417,1.5363325,0.5256099,5.1398797,1.00817,1.3274592,18.817581,10.34212,2.4327645,748.3322,0.42476675,1075.4459,0.22899733,-142.30194,-0.60666263,1776.3167,0.2027297,-134.73396,-0.6512594,2847.723,0.1089781,-136.78706,-0.62032944,-6.486815,-1.5970762,17.335781,0.56961846,0.109611236,0.5584132,-0.008814665,-2.1276493,-2.8477943,10.298246,0.07390236,0.009093179,2.2727273,1.4409221,0.234,0.111999996,0.36499998,0.4744031
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-08-01-01-02-02.wav,0 days,0 days 00:00:03.536854167,40.300148,0.15737066,34.325455,38.236584,47.39314,13.067684,130.5392,100.78233,60.210182,40.77645,0.24604131,1.3037894,0.0072704065,0.01661961,0.50454,0.49726963,7.5222225,4.643031,6.921852,4.146001,0.08829627,2.4295313,1.1553508,0.6868211,5.368139,0.9138641,4.4137177,1.8692468,12.568569,0.5063912,737.86816,0.40779412,1067.0514,0.23621947,-144.18985,-0.5824557,1731.674,0.17950055,-136.96095,-0.62828803,2783.882,0.11861555,-138.92096,-0.59853154,-6.274342,-1.067045,15.697174,0.48666945,0.1285336,0.31493464,-0.008916375,-1.5149995,0.39352536,6.5101514,0.09020238,0.01142817,2.2727273,1.7291067,0.18833333,0.086103946,0.36666667,0.44935757
