file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-01-01.wav,0 days,0 days 00:00:03.837166667,25.805344,0.08453804,23.644394,26.132208,27.705132,4.0607376,136.82715,115.730896,25.08286,16.087486,0.106307186,1.2933058,0.002151777,0.026125643,0.21277383,0.21062206,2.7911658,1.2777405,2.9151278,1.6618228,0.03202606,1.4332604,12.497956,1.3875283,3.9357092,2.4449122,10.146192,1.2308024,2.863227,4.286111,0.04521358,1.0301881,1.553388,0.813611,4.095017,0.8794962,6.5274663,0.81839615,22.097038,0.30426082,573.5637,0.5465446,1161.7051,0.228602,-139.92285,-0.6191202,1547.3577,0.22838758,893.89996,0.34706753,-141.08582,-0.5894044,2524.6558,0.13861153,729.43756,0.29551965,-142.94734,-0.563125,-13.014868,-0.45614937,21.00501,0.37039593,0.07961924,0.34945762,-0.010317415,-1.0171863,0.07624189,0.588067,31.302853,0.37401944,4.2580543,2.9214704,18.838747,0.7605783,3.2369578,5.6316314,-1.4512793,8.30084,0.085465,0.012156439,0.01235903,2.356021,1.591512,0.19666666,0.050221726,0.35142857,0.42689672,-48.525806
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-02-01.wav,0 days,0 days 00:00:03.570229167,23.949066,0.075075574,22.715223,23.189398,25.770948,3.055725,242.74165,295.92218,24.234917,14.800495,0.106168896,1.2963607,0.0030548305,0.018057834,0.2105037,0.20744887,2.4903607,1.2891917,2.466354,1.5137242,0.029259628,1.4558055,13.608724,1.2778112,4.893865,2.46495,10.932597,1.2005087,2.3078885,5.0845265,0.03669677,0.7705829,1.3701997,0.7534575,3.2999427,1.1275237,3.5983942,0.8898337,22.116386,0.40799728,599.90857,0.5823142,1131.1902,0.25969088,-138.37617,-0.6435469,1572.9053,0.23410349,850.7991,0.32601106,-141.28566,-0.6006416,2576.101,0.14224347,742.07104,0.40505153,-143.29117,-0.57217383,-13.143418,-0.5602489,20.24869,0.38437966,0.07179607,0.37395123,-0.010216289,-1.3929849,0.07550936,0.5959991,29.947096,0.4434941,4.5831103,3.3633733,23.515846,0.512315,0.10066931,174.55032,-2.7507174,11.180085,0.07125692,0.009755475,0.008115556,2.247191,1.1396011,0.2725,0.11882234,0.46599996,0.4940283,-49.154453
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,24.26503,0.06349486,23.118805,24.03164,25.64519,2.5263844,217.3083,195.54999,19.374435,9.203426,0.09592465,1.3601466,0.0014550183,0.0061878194,0.21594617,0.21449114,2.073197,1.1087644,1.8971361,1.030288,0.025174238,1.3935802,11.937082,1.6020886,3.2265978,3.0460854,9.014629,1.3869607,1.927606,5.55228,0.036125828,1.0398037,1.4883893,0.828308,3.6746442,0.83229923,4.3318367,0.8100497,22.151697,0.33040366,540.3442,0.5239018,1125.8118,0.2643148,-139.30746,-0.63491833,1510.108,0.24827708,847.05023,0.32437438,-141.15308,-0.6025541,2503.365,0.12707299,694.4935,0.26386756,-143.22607,-0.57238126,-12.362691,-0.5647232,20.19106,0.3933573,0.07741699,0.27166858,-0.011387027,-0.9330897,0.06420835,0.48379225,32.071663,0.4530377,2.0495973,6.2194796,21.21391,0.4897811,-1.9999356,-7.8569465,-0.36486253,7.8398724,0.0944548,0.015823463,0.008804993,2.0057306,1.1627908,0.26749998,0.14788087,0.45599997,0.4873438,-50.379784
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-02-01.wav,0 days,0 days 00:00:03.370041667,24.39618,0.087990664,22.433584,24.2569,26.340778,3.9071941,252.4583,358.24905,31.001064,12.709694,0.1118999,1.3714474,0.0020964888,0.0106990505,0.2473603,0.24526381,3.305627,1.7560421,3.442398,2.823174,0.035738334,1.4684827,11.738795,1.6304902,5.975376,1.7390367,9.842267,1.431481,1.2461212,7.5174723,0.04217371,1.4086083,1.4037871,0.89478886,3.3413973,0.9513697,2.259702,1.8650825,21.237654,0.42956123,497.63803,0.45623335,1217.7532,0.20763569,-142.4636,-0.6100748,1478.2037,0.2018797,905.1919,0.31421885,-143.3427,-0.5852489,2523.8599,0.102558285,704.9628,0.26722428,-145.54605,-0.5538599,-12.279986,-0.6525242,19.898918,0.45049465,0.079710685,0.3431846,-0.010018907,-1.2202132,0.09399191,0.54380065,31.706287,0.44334635,2.61077,4.506151,23.322592,0.52615327,-2.6616213,-4.927442,-1.3530308,9.343117,0.074989855,0.012041585,0.011143339,2.3809524,1.5105741,0.19399999,0.124835886,0.444,0.45491096,-48.063854
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-01-01.wav,0 days,0 days 00:00:03.803791667,25.748932,0.06444838,24.561691,25.82392,27.18587,2.624178,84.358894,68.104485,18.403986,20.029037,0.12613392,1.2061259,0.0039576683,0.023556033,0.26269114,0.25873348,3.668557,2.5909486,2.5700822,1.1887918,0.039501805,1.276545,13.169365,1.5221759,6.305844,1.7452121,11.985233,1.0659093,3.894482,3.0130038,0.036101356,1.8000859,1.5557903,0.8656364,4.585412,0.78579366,5.130797,1.0151998,26.396297,0.3713273,507.79385,0.4684625,1172.2206,0.25626168,-130.00392,-0.7027181,1486.633,0.19691558,911.0119,0.37516087,-134.22723,-0.63893014,2525.7488,0.14047308,748.0198,0.41894165,-136.52423,-0.60574126,-15.846777,-0.5563535,24.288576,0.3984293,0.076752745,0.3161936,-0.013398336,-0.9617193,0.091784425,0.4704463,33.742943,0.40193704,7.3709593,1.8085325,21.152163,0.717698,0.1028102,152.93985,-3.373479,11.481025,0.047887295,0.012399267,0.010442877,2.6385224,1.3368984,0.264,0.14388885,0.385,0.4496943,-46.481525
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-02-01.wav,0 days,0 days 00:00:03.703708333,27.72769,0.11593035,25.53325,27.378843,30.615286,5.082035,55.09122,25.599663,20.646725,16.771765,0.18398842,1.4139398,0.002040936,0.020436581,0.35853338,0.35649246,5.4599795,2.8971317,4.843364,2.5865397,0.067868754,1.4793779,10.80314,1.6410719,4.2299633,2.3964453,8.109488,1.3606809,2.986012,4.2046514,0.051699985,1.3840656,1.5676854,0.64586836,4.4349136,0.892348,3.2170777,2.2561867,21.200888,0.2969443,561.93634,0.5132682,1215.6512,0.26045442,-130.86935,-0.707973,1568.8622,0.20011479,850.60455,0.39839575,-130.72057,-0.67960083,2603.4792,0.13161376,727.05286,0.42644477,-132.84032,-0.6472476,-12.684006,-0.4267242,21.334166,0.27915514,0.0994397,0.2504515,-0.011768723,-0.99109185,0.16995952,0.58729327,29.347363,0.41452146,4.428448,2.9900258,14.980888,0.8569413,3.2565205,5.5869837,0.6821218,6.2389264,0.09050727,0.014453492,0.008283912,2.1680217,1.0989012,0.33249998,0.2074096,0.444,0.48836872,-41.28228
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-01-01.wav,0 days,0 days 00:00:03.737083333,28.024414,0.09949302,25.215038,27.80783,31.123886,5.908848,221.86897,258.68127,66.18489,82.932236,0.20211712,1.3094602,0.0024410724,0.022296377,0.44063962,0.43819854,5.8275795,3.7483528,4.352345,3.3365347,0.07448745,1.3701924,12.451843,1.4707228,4.811509,2.023775,9.012605,1.3865683,2.4100025,4.6317096,0.05626878,1.5912768,1.3997566,0.7591425,4.693408,0.6883735,0.11105336,50.874466,19.943695,0.3622038,620.91095,0.486674,1175.9657,0.25405884,-130.9347,-0.6988558,1634.4373,0.21880654,858.7484,0.2538982,-129.2916,-0.6850067,2649.4854,0.1268171,771.9127,0.41770956,-131.03726,-0.65918845,-11.827239,-0.53494817,19.359457,0.39947882,0.09810794,0.29441947,-0.0106292395,-1.0974149,0.17806162,0.52294743,30.157658,0.43819103,2.3465436,5.0230727,19.717411,0.61891514,1.4908662,10.572461,-0.52850276,7.251941,0.08753634,0.01249202,0.011519902,2.1505377,1.0899183,0.345,0.3207413,0.44,0.45882457,-41.502247
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-02-01.wav,0 days,0 days 00:00:03.737062500,28.032852,0.094122246,26.030704,27.853386,30.345825,4.3151207,151.69395,90.36021,82.78319,162.79613,0.23794557,1.2344227,0.002791154,0.033124067,0.50874025,0.5059491,6.5967155,3.784279,4.864612,3.7891533,0.09783462,1.2985923,10.6312275,1.6725878,5.3404484,1.6282594,8.481491,1.5193162,1.1980593,9.926893,0.04023446,1.3051198,1.4555808,0.6985215,4.231342,0.69997966,2.7633548,2.217343,19.652868,0.3641091,643.1313,0.48091236,1161.2864,0.24270082,-127.78836,-0.71953773,1641.267,0.22621314,894.36475,0.26560894,-125.64318,-0.7169835,2690.8037,0.12979054,686.7986,0.3986547,-127.29849,-0.6916143,-11.472629,-0.6427339,19.226494,0.4659041,0.09448459,0.31374213,-0.0129623655,-0.9279557,0.21929382,0.50180405,27.856133,0.45258412,3.7797878,2.301109,16.63134,0.90486574,-2.9286528,-5.4261446,0.7880679,5.9427247,0.07533543,0.012167341,0.018532723,2.1505377,0.8174387,0.48666668,0.3091206,0.53499997,0.44522464,-40.1857
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-01-02.wav,0 days,0 days 00:00:03.837166667,36.70359,0.06088211,34.923607,35.613663,39.063614,4.140007,66.62169,86.66797,12.97836,9.210926,0.13970126,1.2591898,0.0010339657,0.032747284,0.2529983,0.25196433,4.0147448,3.0126946,3.3980293,2.0975142,0.037305698,1.6083652,13.178357,1.2829341,0.51809967,18.059212,2.5974245,4.2023325,-6.820898,-2.0224633,0.017403714,1.2568008,0.9648217,0.9147454,10.090898,0.4028998,8.077059,1.3682569,21.84111,0.48513862,551.06134,0.39078552,1218.0282,0.20821685,-142.0728,-0.60940814,1558.1678,0.18735044,844.61163,0.4589723,-135.44495,-0.6271515,2630.4944,0.12443158,849.26495,0.5625192,-138.41096,-0.58402616,-11.904298,-0.70781195,24.034054,0.4611658,0.12410058,0.2465318,-0.012821144,-0.96912855,0.09005983,0.79578173,29.322317,0.5327837,-1.9986905,-6.5959153,2.2235227,7.221694,-16.89155,-0.92798865,-3.7525687,11.301656,0.108076826,0.011857337,0.013607214,2.094241,1.32626,0.25399998,0.14051335,0.39166668,0.47358263,-46.50698
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-02-02.wav,0 days,0 days 00:00:03.770437500,37.009396,0.058335647,35.26735,36.42892,38.748283,3.4809341,108.948364,75.478065,167.8533,309.47986,0.15035129,1.3347881,0.0010339657,0.0351147,0.26159403,0.26056007,4.216094,2.8691893,3.6331851,2.1664844,0.049394414,1.8043674,12.661693,1.350015,-0.18495373,-60.75185,2.672302,3.7028854,-6.929643,-2.1273565,0.027356721,1.3579583,1.1101264,0.877354,9.015947,0.4474629,8.272379,1.4149336,22.247614,0.51368636,602.10736,0.41788855,1211.2743,0.22519773,-144.65494,-0.5918874,1594.9163,0.20291147,844.6649,0.3503145,-135.07758,-0.6346741,2674.695,0.14093022,904.0966,0.5985992,-138.2677,-0.58801824,-11.53726,-0.7339235,23.22369,0.46064022,0.12111212,0.24260892,-0.011962535,-1.1070081,0.12106544,0.96238506,28.846687,0.517877,-4.5127773,-3.3561373,2.266255,6.291784,-18.86487,-0.90972364,-2.9635391,9.907843,0.10178121,0.012816867,0.015568558,1.8617021,1.6172508,0.21166666,0.09805044,0.32999998,0.44477925,-45.11642
