file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-01-01-01.wav,0 days,0 days 00:00:03.870541667,30.281693,0.18145645,26.696663,29.608896,32.87205,6.1753883,411.15695,369.39667,98.607864,61.633575,0.30953383,1.3722346,0.0051132794,0.086011976,0.62811846,0.62300515,9.112722,5.367236,9.099341,5.7029223,0.15624435,1.632668,7.7031927,1.9999286,4.166338,2.7557175,7.522891,1.7922779,0.7997325,19.140415,0.08606245,1.2976695,1.4778663,0.6545071,3.2610898,1.0086687,4.5765166,1.9567188,16.383879,0.5205543,564.06244,0.48552456,1058.066,0.22523506,-138.94331,-0.62472594,1658.206,0.22449028,669.42194,0.53695345,-136.84758,-0.6110459,2643.7249,0.14183281,685.54565,0.467765,-136.87253,-0.61072373,-9.654114,-0.8515793,17.15797,0.50685805,0.076201454,0.4802348,-0.012805535,-0.992023,0.38706574,0.791287,21.503576,0.5705332,5.6372685,2.3071656,13.188053,1.457197,-2.9729624,-7.1045933,1.125374,6.768941,0.07050973,0.012165572,0.038822483,2.3316064,1.8372704,0.17857143,0.13829869,0.29625,0.4136707,-36.428753
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-01-02-01.wav,0 days,0 days 00:00:03.937270833,33.16508,0.1677483,28.94012,31.801796,39.033638,10.093517,292.0601,177.84071,53.547832,32.755985,0.3476647,1.2642013,0.0060001444,0.101517946,0.7615849,0.7555847,9.035008,4.353672,8.898016,4.1065955,0.1823036,1.4570341,8.420963,1.6781964,3.4369082,3.7296789,4.8504443,2.85247,-1.1282915,-14.72737,0.07206343,1.3758923,1.3569016,0.6386717,3.5655525,0.9952168,6.6704025,1.9438094,18.573578,0.40140507,611.3032,0.4921449,1120.4996,0.34382975,-140.14215,-0.6290709,1683.8214,0.20376915,729.81,0.47598383,-131.95036,-0.65615505,2754.1438,0.14173324,631.54004,0.5316904,-132.80017,-0.64431506,-9.659999,-0.8683154,17.259491,0.47380343,0.0942146,0.33635467,-0.014657786,-0.8089745,0.42608735,0.672525,19.016556,0.7057529,5.9894366,2.214207,10.646285,1.8327858,-8.005267,-2.9545386,0.6520099,7.705963,0.084691,0.011327809,0.04116818,2.2959185,1.2919897,0.276,0.22887552,0.33571428,0.41513705,-35.991417
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.05877,0.14237341,25.415396,28.782507,32.848175,7.4327793,281.3453,280.8528,39.346024,49.29546,0.25218406,1.3600134,0.0050336234,0.030422837,0.54022056,0.53518695,6.493707,3.3598242,6.0151286,3.5101802,0.12592314,1.589968,9.513176,1.7593131,5.0582643,2.2956126,7.8110003,1.6218562,1.587257,9.328536,0.084937975,1.4681896,1.8070999,0.6207214,2.734862,1.2939306,3.6254802,2.171021,20.657185,0.29877588,543.6598,0.44830966,1169.3107,0.2370318,-140.10182,-0.62868387,1552.6025,0.2193074,769.508,0.3417934,-134.5111,-0.64652574,2604.478,0.1287586,574.11194,0.44022128,-136.07716,-0.62294704,-11.242266,-0.6717481,19.13305,0.42745426,0.09698963,0.39912793,-0.014562888,-0.73025197,0.31870127,0.7036573,25.693678,0.5299452,5.5169177,1.8783689,13.704113,1.209445,-5.883848,-3.5484815,0.815731,7.3097844,0.06457073,0.012270239,0.021616613,2.5787966,1.1627908,0.29999998,0.27083203,0.53499997,0.43557432,-38.34242
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-01-02-02-01.wav,0 days,0 days 00:00:03.737062500,29.093754,0.15790729,27.656242,28.972029,32.95482,5.2985764,303.032,361.23068,43.982475,6.461311,0.35503417,1.3325253,0.009104952,0.06295174,0.6930491,0.6839441,9.0819025,5.89353,7.09597,4.319688,0.19081728,1.5958649,9.531014,1.8371339,3.1861525,4.082916,7.0753684,1.8047929,0.6947879,22.849918,0.06752453,1.5225397,1.7143533,0.6863646,3.0273159,1.2650973,6.0492296,2.2350612,16.428988,0.45310932,624.00995,0.4876747,1100.8833,0.23688383,-134.5877,-0.67556894,1657.4019,0.23399554,751.75055,0.32963812,-129.98235,-0.6879133,2684.5708,0.14552064,572.35785,0.35698342,-130.86256,-0.67393917,-9.892733,-0.69482005,17.141195,0.44220075,0.09800206,0.3225455,-0.012642118,-0.860949,0.4583099,0.76533747,25.853083,0.50227064,2.1532552,5.3675404,13.476829,1.1904626,-5.5992947,-3.92842,1.1413637,6.9793797,0.060920984,0.010913136,0.03215601,2.419355,1.0899183,0.3375,0.31252,0.44599998,0.4298185,-34.564774
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-01-01-01.wav,0 days,0 days 00:00:04.104104167,41.331577,0.15562148,39.288895,43.20465,45.90346,6.614567,157.72076,79.36518,36.360546,8.998051,1.2545366,1.2319909,0.014363263,0.37334836,2.807121,2.7927577,21.850685,12.207253,25.15093,11.825091,1.0227557,1.4744849,4.710073,2.3458366,-5.3492084,-2.2653577,-3.094791,-3.9352448,-8.06968,-2.6315453,0.036814827,1.4641314,1.2204828,0.68365145,5.6335077,1.0645037,5.517004,2.0375075,11.763058,0.96078426,961.8268,0.24103746,785.87646,0.47135884,-120.88263,-0.7677791,2032.5111,0.13801146,648.9156,0.46996707,-116.297226,-0.79029626,3111.97,0.097943604,502.18344,0.59057003,-118.66918,-0.7528627,-4.3950458,-1.3224965,14.143477,0.48252487,0.1269933,0.36042967,-0.007756717,-1.6807387,2.2257268,0.7142859,8.309762,1.2585515,-12.256129,-1.0576291,-9.674901,-1.460776,-21.138746,-1.1089691,-1.2133105,10.137105,0.06404616,0.00946892,0.078294,1.7114916,1.4851485,0.29166666,0.18703088,0.35833332,0.351398,-20.999664
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-01-02-01.wav,0 days,0 days 00:00:04.371041667,37.747375,0.10753678,34.04027,39.508625,40.761612,6.72134,419.8061,591.8755,79.960045,71.58747,0.9212245,1.118071,0.028724464,0.5397085,1.6899039,1.6611794,18.013771,8.605862,17.866743,13.804123,0.5608279,1.3584021,4.182287,4.2027473,-4.2705708,-2.7740655,-1.4472198,-10.149801,-5.823445,-3.700465,0.035257008,1.036585,1.0996386,0.703932,6.3829083,0.6824606,9.144923,1.0575367,15.190885,0.5076424,726.8369,0.419269,997.47186,0.33588657,-136.83113,-0.6527038,1769.4099,0.21654932,698.713,0.32693473,-119.466545,-0.758688,2843.6565,0.13408412,583.564,0.53360575,-121.051865,-0.7340485,-6.3636847,-1.2110405,14.92745,0.5391372,0.094209194,0.30400726,-0.014135903,-0.98147464,1.1722684,0.66546553,14.885352,0.7679434,-3.0194035,-4.8044424,-1.7020203,-10.954651,-12.412588,-2.1610007,4.479141,6.75889,0.086527675,0.01186429,0.104263544,2.5229356,1.62413,0.25714284,0.11423213,0.39,0.47,-25.37991
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-02-01-01.wav,0 days,0 days 00:00:04.137458333,36.234467,0.14220476,31.964804,36.7951,40.579727,8.6149235,296.55597,150.48045,52.248524,22.97201,0.89823097,1.3114119,0.06335935,0.27542484,1.5761244,1.512765,22.67106,14.790153,23.180084,21.773746,0.6135053,1.5886245,2.4193714,6.554272,-3.0142834,-4.0303693,1.7276489,6.1863337,-4.4177766,-4.0871754,0.057834517,1.6044426,1.3574317,0.63714755,5.154593,0.81581265,6.1911263,1.4296166,12.769572,0.6188588,869.51373,0.34595776,889.7201,0.36872467,-140.50357,-0.62387455,1976.2312,0.19124722,715.69116,0.5323442,-132.83495,-0.6743887,3003.0159,0.10888434,778.0763,0.60891783,-133.76988,-0.66075575,-5.402636,-1.4639833,13.933836,0.59648156,0.103271075,0.40245116,-0.01328184,-1.0727886,1.5850822,0.686461,14.126028,0.92112315,-4.951428,-2.6158297,2.7187426,5.2159104,-16.08261,-1.4569943,4.978397,3.9476597,0.08243276,0.01082508,0.08166591,1.9417477,0.7371008,0.47,0.313794,0.512,0.3801789,-24.97932
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-05-02-02-02-01.wav,0 days,0 days 00:00:04.437770833,41.773956,0.13189758,40.04693,43.048687,45.925583,5.8786545,196.64967,197.26723,46.545788,36.366047,1.8600965,1.1966273,0.076350965,0.79006046,4.2180233,4.141672,43.50986,30.720581,32.123596,19.28929,1.5635839,1.3581214,0.94888085,12.527837,-8.763584,-1.5644408,-7.0903654,-1.5972503,-7.8602223,-2.5150528,0.036547583,1.1887455,1.1017928,0.66767776,5.9948726,0.91025037,0.17638771,45.03389,8.622638,0.9999348,953.13025,0.27588123,787.705,0.39133635,-112.5535,-0.8449382,2039.748,0.15408257,632.6379,0.57553697,-109.40527,-0.85563624,3084.5093,0.11849945,552.5215,0.5827921,-111.52102,-0.8207034,-2.965439,-2.226633,13.407739,0.4940627,0.13042577,0.30835626,-0.0074030054,-1.7300705,3.1366322,0.67339706,6.5993395,1.5248765,-14.234751,-0.9955462,-11.726257,-1.1607385,-16.710413,-1.4270384,3.805915,6.211202,0.097413674,0.011796764,0.15633586,2.2624433,1.1441648,0.41,0.29325756,0.44,0.4236508,-16.477798
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-05-01-01-01-02.wav,0 days,0 days 00:00:03.670333333,37.153885,0.15601292,33.697964,38.829914,41.893677,8.195713,600.14874,705.39923,54.27791,6.864233,0.2605469,1.3194215,0.0072201826,0.027720641,0.52934915,0.52212894,9.8620405,7.256104,7.2946863,4.3628874,0.13524938,1.5786647,10.657108,1.4933105,-0.08880146,-139.76587,4.4541316,2.6542685,-7.8041224,-2.1387177,0.041424412,1.2524652,1.3217038,0.56867075,5.436093,0.9628496,8.450894,1.2790095,15.155949,0.7254964,573.6135,0.4473592,1169.762,0.24287353,-150.46245,-0.5428815,1585.8354,0.20626695,895.77673,0.44814035,-135.23071,-0.6389415,2606.565,0.13769224,784.7543,0.70947874,-136.20235,-0.62370723,-8.542495,-1.1625308,20.377092,0.46354303,0.09483802,0.5782757,-0.0133882025,-1.1410414,0.34562945,0.6927304,24.01438,0.6323967,-7.812281,-1.8598793,5.540325,3.070196,-22.290892,-0.7891999,-3.7183044,12.177134,0.08521735,0.01038146,0.033334892,2.7322404,1.6620499,0.20166665,0.19195631,0.3242857,0.43787983,-38.324066
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-05-01-01-02-02.wav,0 days,0 days 00:00:03.670333333,37.591175,0.16077457,33.65051,38.495743,42.81521,9.1647,195.19408,115.087265,114.21167,180.12279,0.30898574,1.2557193,0.010191392,0.1294626,0.5816449,0.5714535,8.574446,5.666908,7.9131556,5.265201,0.1354675,1.5231743,9.91803,1.5813395,-2.6645532,-5.0945487,2.8271172,4.546229,-9.11184,-1.9110649,0.042438056,1.6126553,1.3604691,0.6878296,5.650347,0.8978019,6.593741,1.633494,13.539602,0.84412277,560.41174,0.41702807,1136.4585,0.2330612,-146.26704,-0.585829,1614.9277,0.18296202,828.6365,0.41728935,-128.37767,-0.7023363,2629.2441,0.13541824,724.8262,0.5018634,-129.72548,-0.680367,-6.4790964,-1.5014472,18.180458,0.5703556,0.10205991,0.52008283,-0.010805017,-1.2839891,0.3118868,0.75677454,21.615618,0.76542544,-10.275149,-1.4525107,2.9655516,6.185826,-24.081385,-0.7260563,-1.4898909,8.818101,0.06678103,0.0074100965,0.030401042,2.4590166,1.1080333,0.3375,0.205472,0.43400002,0.37897757,-37.662796
