file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-01-01-01.wav,0 days,0 days 00:00:03.536854167,24.89813,0.11789683,22.419266,24.678062,28.138033,5.718767,214.87605,234.97762,32.979195,25.259745,0.087677546,1.3176192,0.0033764495,0.013323441,0.17805266,0.17467621,3.0444262,1.7310314,1.7729126,1.0035515,0.02461701,1.4629892,12.063692,1.5017847,6.9972005,1.4032322,8.532743,1.341068,5.5954924,2.0434136,0.041234568,2.0068164,1.643024,0.8309557,3.8143134,0.8611992,4.1585236,0.8058556,24.39287,0.30561173,495.11942,0.47910932,1099.0531,0.21923868,-147.38466,-0.5745469,1427.7367,0.1852842,831.0667,0.4144648,-149.99998,-0.5338013,2453.6245,0.11176385,664.3564,0.39040738,-152.22731,-0.5021672,-13.886099,-0.49754298,22.361008,0.37032312,0.07280826,0.352232,-0.0123499315,-0.80566037,0.07048265,0.5114095,32.20018,0.42128855,7.3608756,1.405707,17.143648,0.847926,5.292921,3.1128983,-3.3775508,11.778274,0.062112257,0.010664028,0.00793358,2.840909,1.4409221,0.182,0.116172284,0.4083333,0.441717,-50.563885
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-01-02-01.wav,0 days,0 days 00:00:03.603583333,23.718445,0.108583845,21.636139,23.156946,25.684692,4.0485535,136.4687,111.717064,27.267038,5.8768935,0.089175306,1.3154569,0.0022099137,0.026123231,0.17492351,0.1727136,2.0636442,1.562447,1.9707421,1.1798254,0.024907839,1.551133,13.90773,1.392096,6.0688605,1.7373273,7.8252077,1.3817425,6.455959,1.8100178,0.030928731,1.4117743,1.3119576,0.8989796,3.5122838,0.87939924,3.021776,1.4278816,24.244877,0.24840857,439.6826,0.39701688,1134.0952,0.19207318,-135.67476,-0.6600828,1401.654,0.18093908,854.0629,0.3222046,-138.62874,-0.60812145,2387.5566,0.09482149,693.32355,0.32199976,-141.69508,-0.56531334,-15.076423,-0.44320545,24.02501,0.3236611,0.06269487,0.4442209,-0.011186947,-0.7518251,0.061722033,0.7330977,33.09678,0.421569,9.404668,1.5846345,13.707835,0.95671415,8.2433605,1.8835155,-2.074193,10.50658,0.06885262,0.012082931,0.006523952,2.2284124,1.4124295,0.23200001,0.13905394,0.452,0.4453942,-50.198994
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,24.561493,0.2712408,22.148478,23.513922,25.099932,2.9514542,525.56226,365.43732,31.18792,19.770306,0.12689193,1.2839752,0.0031251574,0.015381302,0.26417077,0.2610456,2.6158204,1.2235209,2.16081,0.9920489,0.03601311,1.4000881,12.654585,1.6276461,6.2943826,1.7141014,8.596995,1.373606,5.043034,2.28491,0.017714614,0.87714475,1.2396864,0.7740834,3.9935462,0.60179293,3.2777023,1.3834083,19.053823,0.54733694,482.75104,0.5072122,1134.0365,0.1914092,-129.08112,-0.7115424,1413.0881,0.22355928,841.4341,0.28179076,-130.5928,-0.6749821,2447.679,0.12959595,648.02386,0.34891614,-133.29134,-0.6346981,-11.665205,-0.7213085,20.081942,0.5016672,0.05534926,0.42618924,-0.01116217,-0.8494757,0.08054369,0.47623175,31.62625,0.50143814,4.7369266,2.8491282,15.597682,0.98215526,2.327142,7.132589,-1.3060005,9.457089,0.055214725,0.01244715,0.009866672,2.2922635,1.4534885,0.25,0.19401032,0.414,0.4461659,-47.324703
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-01-02-02-01.wav,0 days,0 days 00:00:03.470145833,23.421627,0.071588874,22.393826,23.624762,24.891598,2.4977722,150.53406,203.80756,35.22187,31.733047,0.12553363,1.2978244,0.004445479,0.0140622575,0.26471436,0.26026887,2.6319818,1.6037551,2.647036,2.1206791,0.03445699,1.3843713,14.295753,1.3781906,6.1606054,1.6065542,8.965935,1.2351056,5.6062894,1.8433691,0.019984392,1.2752361,1.0929825,0.7687302,3.9933443,0.74081135,3.751594,3.0738297,20.40682,0.6276044,471.90628,0.5303346,1146.2439,0.21443945,-130.22487,-0.70294744,1407.3746,0.21002579,830.55756,0.29152912,-132.42705,-0.6617953,2444.597,0.121986605,623.6764,0.292205,-135.45868,-0.6177079,-12.931984,-0.43720052,21.852444,0.31214213,0.054201454,0.3615628,-0.011140351,-0.84476435,0.080347545,0.5407812,34.06665,0.40315562,4.5031886,2.3304114,15.687707,0.8595891,3.491316,4.235639,-2.5031257,10.287963,0.052928347,0.010891255,0.007965978,2.0231214,0.87976545,0.41666666,0.14197026,0.5225,0.45860523,-46.895203
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-01-01-01.wav,0 days,0 days 00:00:03.703708333,22.426424,0.06941515,21.11737,22.197912,23.753294,2.6359234,267.237,171.47758,17.181044,7.770831,0.08178938,1.1778786,0.0023777406,0.03464575,0.16741937,0.16504164,1.6200033,1.0721326,1.7037736,0.87081265,0.01897167,1.2879049,13.454054,1.3919017,6.4696693,1.6031176,8.174189,1.4050846,6.082413,2.0571513,0.017776249,0.7858633,1.3141614,0.9337866,4.1637383,0.5376625,0.57846546,7.8602405,20.233025,0.29314363,434.45142,0.40659234,1119.8508,0.21903571,-134.53401,-0.6613008,1370.5281,0.16845998,859.7144,0.39026207,-137.7159,-0.6103026,2352.4448,0.097630695,632.44543,0.23239894,-140.0842,-0.57632494,-14.995341,-0.47834086,23.308058,0.3592094,0.04625627,0.6608424,-0.011939195,-0.7861875,0.042871222,0.5225192,31.845848,0.43617812,9.994029,1.1871117,14.661634,0.9294103,7.5324883,2.2254252,-2.7020218,10.271212,0.06761725,0.011312352,0.006901726,2.4390244,1.3736265,0.24599999,0.15081114,0.38333333,0.43808928,-52.330284
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-01-02-01.wav,0 days,0 days 00:00:04.004000,23.797808,0.08482496,22.312826,23.383528,25.891167,3.5783405,185.25774,217.35416,36.397564,16.84337,0.090337835,1.0665548,0.002898158,0.07102201,0.17346191,0.17056376,2.2794535,1.7774531,1.5814692,0.85773844,0.022020783,1.2157576,12.87178,1.5039265,4.801549,2.3106632,7.9395823,1.3412967,5.266002,2.3343914,0.028895238,1.0860938,1.2911886,0.9222441,3.8977892,0.77544767,0.67089474,8.548359,20.554998,0.3565951,432.64166,0.42117015,1183.8466,0.21920355,-141.59523,-0.60936105,1344.1975,0.15222508,882.6277,0.2698818,-144.02658,-0.56729966,2339.3022,0.08532572,685.21765,0.3275524,-146.43872,-0.53374404,-15.016877,-0.48568788,23.327948,0.3272485,0.057250574,0.43534014,-0.012905582,-0.7763083,0.05107659,0.49283767,34.47504,0.3355108,6.741029,1.4727602,14.466353,0.94406235,5.1052613,3.3155036,-1.2532575,8.5297,0.06636746,0.010208015,0.009419464,2.255639,1.5228428,0.19666666,0.12565385,0.3757143,0.400102,-51.548443
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-02-01-01.wav,0 days,0 days 00:00:04.204208333,26.643513,0.31877387,23.912548,24.873695,25.656538,1.74399,259.93103,185.3673,31.705368,19.714024,0.112091206,1.0329807,0.003985412,0.0797612,0.23009667,0.22611126,2.1242347,0.9680224,1.6590341,1.0573459,0.028854266,1.2678488,13.077657,1.6240602,7.351616,1.442823,6.001685,1.7695369,5.952074,2.0038528,0.017929945,1.4269451,1.0393103,0.9369093,4.61877,0.7270042,4.8440423,0.79007,22.543825,0.50246894,431.99744,0.38089743,1132.0741,0.18038416,-128.64284,-0.712748,1355.3779,0.18010555,839.1661,0.26964456,-130.12932,-0.6704281,2404.6057,0.10861075,625.092,0.29961076,-131.78706,-0.6384797,-12.430011,-0.90147483,21.078375,0.58954823,0.056742106,0.44538483,-0.010874443,-0.94215333,0.05444043,0.5358803,30.242128,0.6092655,10.893767,0.9778757,9.23765,1.3558382,6.276472,2.4913034,-0.6145684,8.546334,0.06280922,0.011000798,0.013461261,2.3866348,1.4492754,0.26,0.115614295,0.40666667,0.42870608,-50.158306
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-02-02-02-02-01.wav,0 days,0 days 00:00:04.004000,24.159096,0.23480657,21.787703,23.764791,24.952503,3.1648006,363.3441,271.46234,42.388252,15.491008,0.11728331,1.134379,0.0028299876,0.06600206,0.22367284,0.22084285,2.0628812,1.2190664,1.6818967,0.9270679,0.026608966,1.1730556,11.8948765,1.6880229,4.127455,2.9056184,8.443813,1.196334,4.862181,2.1220877,0.035331592,1.8683516,1.3115076,0.82613814,3.8270817,0.8428602,2.9310448,4.075047,19.802164,0.34083834,478.72195,0.42229202,1109.3177,0.19003797,-130.52335,-0.69595253,1415.5112,0.18884566,855.3316,0.31388757,-132.63385,-0.65285426,2435.9614,0.1114106,653.38385,0.26690722,-134.95583,-0.61521435,-12.901037,-0.59555006,21.873209,0.38606772,0.051627878,0.42956874,-0.010342828,-0.89469796,0.056381766,0.4392969,31.24194,0.46610504,6.8897915,1.6760349,15.0711565,0.72916496,5.0689054,2.828066,1.322429,6.5880084,0.06840744,0.013579277,0.009846301,2.255639,1.5228428,0.235,0.19024107,0.3983333,0.45130983,-49.32714
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-02-01-01-01-02.wav,0 days,0 days 00:00:03.837166667,36.131187,0.11458767,34.079807,37.071976,38.598137,4.5183296,132.37675,106.29849,12.504473,6.42342,0.14994569,1.3780724,0.0074897427,0.04703311,0.25082353,0.24333379,3.5711017,2.1989,3.5823464,2.3116739,0.046421308,1.6262037,11.811147,1.4336387,4.3591933,2.9569523,5.4367156,1.8889018,-4.834075,-3.2307618,0.038976524,2.6104555,1.0303897,0.7678656,8.48677,0.5355276,6.7969704,1.4594057,20.97651,0.44977978,591.5206,0.34631404,1220.6985,0.2119939,-139.1214,-0.6292672,1640.6564,0.1736248,880.9613,0.48741826,-135.56126,-0.62938106,2682.1028,0.11071787,835.9683,0.62444514,-138.27542,-0.58966386,-11.376105,-0.81313497,22.970682,0.45790964,0.10669992,0.25921977,-0.011992595,-1.1695527,0.11494529,0.7881741,27.66585,0.47406295,-4.4539914,-3.7923455,3.7902467,3.7726545,-18.656563,-0.75642437,-5.140197,12.605826,0.053520866,0.0057761264,0.0097685065,2.094241,1.591512,0.21499999,0.115722366,0.33571428,0.43203366,-44.922432
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-02-01-01-02-02.wav,0 days,0 days 00:00:04.004000,36.608963,0.08671824,33.346317,36.61196,39.451157,6.1048393,50.72224,62.53789,20.391745,5.8178635,0.1523423,1.2830024,0.0014975881,0.06224358,0.2702799,0.26878232,3.3549132,2.5695546,3.8280897,1.9753051,0.0408599,1.46494,12.510529,1.30589,1.8672684,6.0395513,3.3217492,3.148581,-6.52364,-2.2420912,0.012097721,1.3539523,1.0604308,0.8371104,9.65886,0.41092712,4.8780584,1.8417366,20.057215,0.47620687,624.8688,0.3547587,1208.1547,0.22143932,-133.50523,-0.67172277,1621.8853,0.15628058,868.5312,0.47939792,-129.83885,-0.6686483,2749.9685,0.10677833,715.92474,0.6469504,-132.40514,-0.62960565,-11.620098,-0.7861861,22.752338,0.4335044,0.10397421,0.23415683,-0.013933078,-1.0149661,0.093611605,0.691384,27.518988,0.47599128,-2.110584,-7.315562,5.1252103,2.8834834,-18.245619,-0.8086746,-2.696217,10.320642,0.09913366,0.011898442,0.010444664,2.0050125,1.5228428,0.24666665,0.072724745,0.3866667,0.46129045,-44.971226
