file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-01-01.wav,0 days,0 days 00:00:03.470145833,28.360964,0.096043974,27.025383,28.330723,30.857138,3.8317547,38.18503,13.609609,21.805145,20.585003,0.17161976,1.301374,0.0051690554,0.017775778,0.3972329,0.39206383,5.7114944,2.7959406,3.844663,2.2036793,0.067109734,1.333064,13.647385,1.2376773,5.138481,1.8242066,9.047841,1.5999055,2.9032621,4.3802648,0.046023678,1.9308372,1.5750946,0.7398385,3.7354355,0.93675643,2.4210148,2.9000297,22.761911,0.34338748,546.2332,0.53954655,1129.2876,0.22676687,-132.06871,-0.6939984,1521.9062,0.22107477,819.347,0.2831769,-133.28146,-0.65357,2545.2107,0.14144197,677.6389,0.24869378,-135.40475,-0.62260693,-13.399646,-0.5199617,21.067707,0.4057562,0.09249357,0.3202337,-0.015276008,-0.7368203,0.16943218,0.39324751,30.62559,0.41441768,5.8204136,2.2661667,18.00749,1.0466956,-1.5986633,-10.234776,-2.2468376,10.86092,0.05493425,0.009822168,0.008837284,2.3121388,0.87976545,0.41,0.2728858,0.5275,0.45805976,-42.873123
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-01-02-01.wav,0 days,0 days 00:00:03.470125,28.093277,0.104256205,26.137873,28.165636,30.960896,4.823023,71.55335,44.999924,-3.7361603,38.801636,0.19240685,1.3802015,0.0036704987,0.021664694,0.40374684,0.40007633,5.7909904,3.0100713,4.9562173,2.2320225,0.08197033,1.4251683,13.369747,1.222327,3.9427187,2.5007505,9.66192,1.4862728,4.373299,2.8279967,0.052056976,1.3293498,1.465798,0.716157,3.1536078,1.151814,1.9560845,3.2505155,18.09902,0.44467115,571.66406,0.5243638,1068.7242,0.29773158,-133.2784,-0.68128854,1575.122,0.24040002,798.6216,0.27580497,-131.93787,-0.67375803,2560.382,0.13007878,690.8148,0.26725006,-133.71992,-0.647166,-10.491194,-0.60421836,18.079899,0.46677148,0.090766564,0.33164895,-0.012424225,-1.0460744,0.20439433,0.5420603,28.022715,0.4870804,1.2889038,9.648834,19.403473,0.8640738,-0.034265608,-479.38553,-5.999138,14.930595,0.04548465,0.010487128,0.011516694,2.0231214,0.87976545,0.4133333,0.35235712,0.525,0.495101,-41.584282
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-01-01.wav,0 days,0 days 00:00:03.536854167,26.80905,0.08533465,24.856455,27.097775,28.884766,4.028311,158.49062,289.74243,42.548717,23.666393,0.15694135,1.2714124,0.0034432411,0.03260392,0.32505947,0.32161623,4.4466896,2.7733405,3.1442163,1.8056668,0.05511855,1.3724914,12.221872,1.5116259,5.570507,2.0329695,6.898649,1.7718906,2.3877048,5.60364,0.026522998,1.0755894,1.4800498,0.77999026,4.1370993,0.7754878,2.381994,2.0590227,22.122345,0.36058187,459.37744,0.46708336,1170.4272,0.23913917,-131.43893,-0.7018522,1410.2717,0.21070686,859.6619,0.31362212,-133.35294,-0.6595308,2476.8748,0.11279636,632.0074,0.42698509,-136.08917,-0.6186548,-13.7616415,-0.5311751,21.972816,0.36967286,0.09071669,0.26372632,-0.01579235,-0.85139954,0.14209373,0.42110115,32.086033,0.39448926,6.704349,1.6165924,14.966106,0.92399067,-3.8292522,-4.921569,-0.26298985,9.377697,0.06606552,0.012887979,0.0067732753,1.9886364,0.86455333,0.4133333,0.28778848,0.71666664,0.43021956,-43.842995
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-01-02-02-01.wav,0 days,0 days 00:00:03.703708333,26.414188,0.07598509,24.860573,26.16366,27.98399,3.123417,232.39732,310.38687,35.154102,20.592354,0.16965015,1.1819457,0.0055775465,0.018812904,0.36667854,0.361101,4.2410975,2.7259114,3.391404,2.0900512,0.05636132,1.2451082,11.406744,1.6229581,7.7429276,1.1843121,10.046973,1.3594993,3.1041648,4.4775476,0.031541836,1.4551085,1.1506318,0.5971637,4.514757,0.61879766,3.6230493,1.248036,20.027826,0.40186828,438.08118,0.4600201,1162.6593,0.19522446,-131.12813,-0.7073022,1380.0446,0.2064422,851.92633,0.300858,-132.38899,-0.6699386,2438.6335,0.10972137,616.7609,0.37093362,-134.45111,-0.63872886,-13.037167,-0.55039155,20.963469,0.4019592,0.083916925,0.30322233,-0.015348731,-0.68531406,0.12869021,0.41799906,30.789637,0.35895392,5.8172307,1.6689361,16.452332,0.99357283,-4.2059417,-4.2983146,-1.6405176,10.301579,0.045838684,0.011686173,0.0155144585,2.1680217,0.82417583,0.43666667,0.32724437,0.565,0.440142,-44.432705
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-01-01.wav,0 days,0 days 00:00:03.670333333,34.288193,0.09648247,31.88669,33.992844,37.641438,5.7547474,49.43526,25.819061,6.2131524,27.509138,0.23950216,1.320631,0.0078029893,0.023868676,0.47884187,0.47103888,8.752122,4.842956,5.101761,2.534611,0.11624908,1.516747,10.600124,1.441306,2.4945736,4.257955,3.481334,3.596515,1.5860783,10.282188,0.033865146,0.9061372,1.5998672,0.6260255,4.880901,0.9014258,5.4272814,1.7577181,20.18696,0.40540484,561.9984,0.5425135,1083.094,0.2461108,-144.84872,-0.5913803,1524.2936,0.23527928,860.8194,0.2697661,-132.28133,-0.6666532,2536.7468,0.13815053,649.0745,0.43588096,-134.63895,-0.63241446,-11.601998,-0.64441407,20.146824,0.40960112,0.119809486,0.26906702,-0.01393273,-0.91084355,0.29186112,0.6294497,24.773289,0.44427136,2.308895,6.6940947,4.5356264,3.8363147,-2.737312,-8.644201,0.28178808,8.241871,0.07089036,0.012436315,0.015226211,2.7322404,0.83102494,0.43666667,0.33983657,0.74,0.4456456,-39.13559
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-01-02-01.wav,0 days,0 days 00:00:03.636958333,33.48536,0.10049628,31.802013,33.41911,35.896893,4.094879,113.937164,100.56774,11.214113,19.981468,0.2858157,1.3642023,0.010425472,0.043358073,0.5647212,0.5542958,10.626364,7.6041903,6.5926633,3.1852744,0.13527802,1.6282268,14.481513,0.97004867,-1.8059916,-5.9979463,4.85782,2.4393258,3.6540747,4.045955,0.041945104,1.343116,1.3559419,0.7486169,5.6145186,0.7915521,5.0815153,1.8678522,18.20103,0.41575766,483.56866,0.5667319,1185.0424,0.24575207,-145.28073,-0.5869216,1446.2634,0.21779028,825.45013,0.34156552,-129.27985,-0.68979764,2490.5923,0.13726997,620.3734,0.35223323,-131.63551,-0.65414536,-10.023134,-0.6186035,19.82929,0.33770075,0.11348586,0.2706285,-0.010674771,-0.8743486,0.33150542,0.7645137,26.856289,0.39310455,-1.4083627,-7.526705,8.30179,1.9081019,-2.1950352,-8.805353,-3.1127098,13.62374,0.046924397,0.010700178,0.016908264,2.486188,1.1204482,0.33249998,0.35216296,0.42999998,0.4782886,-36.774532
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-01-01.wav,0 days,0 days 00:00:03.937250,31.879889,0.09319984,29.523552,32.501026,34.431736,4.908184,52.16003,40.18887,60.232986,31.982515,0.38046318,1.2062275,0.01052297,0.12475403,0.71692073,0.7063978,10.796503,7.028862,9.877244,7.217802,0.17754401,1.3504789,11.202583,1.3899968,3.35387,3.8250234,6.9624076,1.7426693,2.5444071,6.4098973,0.050826304,1.7523109,1.1737689,0.75812095,4.9394116,0.8213691,4.207462,2.3016896,16.587238,0.37372917,695.56744,0.49946082,1100.2809,0.2711111,-126.7932,-0.73042697,1667.9291,0.2548583,844.85767,0.33553788,-119.9398,-0.77079505,2733.7705,0.1390333,670.61237,0.653874,-122.14998,-0.7355469,-9.5659895,-0.60889965,18.117756,0.41409227,0.11508965,0.24626665,-0.012325091,-1.0485449,0.39923918,0.5507785,24.45136,0.48255005,2.6790361,4.469584,9.174045,1.8185415,-3.506875,-6.283435,-0.6826418,10.118448,0.04156328,0.012538747,0.0152433375,2.2959185,0.7751938,0.5433333,0.3196178,0.54249996,0.46402448,-35.110527
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-03-02-02-02-01.wav,0 days,0 days 00:00:03.937270833,31.276716,0.09591051,29.305344,31.59162,33.897778,4.592434,226.28613,219.22617,-4.7782364,33.82317,0.36118197,1.2225267,0.0047705453,0.11969194,0.77256113,0.7677906,9.379121,5.497617,7.003868,3.9318054,0.17084394,1.3574979,11.055108,1.5263058,4.462837,2.5190167,6.1593423,2.0437195,1.5763984,10.093035,0.0321327,2.0620062,1.3197001,0.5729392,4.7892284,0.870118,2.3629284,4.080255,16.269766,0.37320262,610.68994,0.52924144,1128.77,0.23139288,-130.01166,-0.7034203,1628.8285,0.24667153,795.55316,0.3125568,-118.85912,-0.77392095,2640.3313,0.14946483,635.1512,0.42060682,-120.95925,-0.73937905,-9.603559,-0.5738272,19.158747,0.37519822,0.11160202,0.26390955,-0.011978016,-1.0282344,0.3687065,0.60523486,26.295895,0.42257127,1.2906051,8.9821,8.521367,1.9751023,-3.6342258,-5.8209305,-0.11984394,7.523793,0.06071514,0.012027348,0.021918206,2.2959185,0.7751938,0.5566667,0.31899145,0.70666665,0.39381328,-35.717796
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-01-02.wav,0 days,0 days 00:00:03.603604167,37.440506,0.12254185,33.43709,37.317142,41.814175,8.377083,138.97601,94.47214,19.53419,14.786485,0.28677455,1.4879905,0.010781005,0.032854054,0.45818287,0.44740188,6.8534064,4.051293,8.602103,4.0539994,0.12455736,1.9469571,9.2924,1.6181191,-5.7103796,-2.3018715,5.9518623,1.7556397,-6.7219763,-2.6209893,0.019345956,0.9785255,1.5167145,0.7749262,6.3113565,0.8287001,4.6660104,1.7805775,10.880071,0.89400923,622.4314,0.5024404,1077.9423,0.3703762,-134.39127,-0.66573685,1667.2926,0.21127811,800.0607,0.48752657,-125.64839,-0.7222325,2710.4265,0.12711997,770.9315,0.71722686,-127.78873,-0.6882927,-5.963844,-1.3456928,16.561968,0.50317115,0.120475166,0.2773743,-0.008042763,-1.9052286,0.30633315,1.0047871,20.999077,0.67396706,-15.13819,-0.9953686,8.731938,1.7439953,-23.120037,-0.6503979,0.11950435,6.9060435,0.082259074,0.009770312,0.007393482,1.6713092,1.1299435,0.345,0.2927883,0.414,0.47885695,-38.008213
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-03-01-01-02-02.wav,0 days,0 days 00:00:03.703687500,37.525978,0.12008162,34.34516,36.415604,42.13788,7.792717,55.23102,55.349537,21.004595,12.738091,0.27430102,1.5008373,0.007374941,0.022067249,0.45874617,0.45137122,7.204806,5.658508,6.5001187,3.9455597,0.11152282,1.7784851,9.574248,1.6028482,-3.0065436,-4.7013607,6.7283883,1.568066,-8.572371,-2.033113,0.028600944,1.4190803,1.2850351,0.69142765,6.2429705,0.8798993,5.588203,1.7703338,11.387923,0.79069084,593.2509,0.46066043,1079.0111,0.2997149,-139.49388,-0.62544185,1652.709,0.17716931,791.75244,0.52063316,-127.35056,-0.6995149,2707.7788,0.12681395,745.738,0.51744276,-128.21904,-0.6854295,-6.247049,-1.308206,15.007657,0.51952267,0.12823227,0.2439752,-0.00914988,-1.4896384,0.26818863,0.90193266,20.036787,0.70625544,-14.798945,-0.9890773,10.810955,1.2898792,-23.968527,-0.6694316,-1.9604125,9.032214,0.0789554,0.008716014,0.012872254,2.1680217,1.3736265,0.278,0.17814602,0.53,0.47597265,-39.25623
