file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-01-01.wav,0 days,0 days 00:00:03.837166667,25.805344,0.08453804,23.64439,26.132208,27.705132,4.0607414,136.82724,115.73101,25.082874,16.087492,0.106307186,1.2933058,0.002151777,0.026125643,0.21277384,0.21062207,2.7911658,1.2777404,2.9151273,1.6618227,0.03202606,1.4332604,12.497956,1.3875283,3.9357092,2.4449122,10.146192,1.2308025,2.8632264,4.286112,0.030920766,1.5053215,1.2987854,0.8613249,4.095017,0.8794962,6.5274663,0.8183962,21.945528,0.29979983,551.5152,0.54601055,1173.4232,0.21587084,-140.2478,-0.61702394,1516.2819,0.22323535,892.08795,0.34329188,-140.95471,-0.59126914,2502.622,0.1366539,731.70996,0.31233722,-142.8979,-0.5638166,-13.014868,-0.45614937,21.00501,0.37039593,0.07961924,0.34945762,-0.010317415,-1.0171862,0.07624189,0.588067,31.302853,0.37401944,4.2580543,2.9214704,18.838747,0.7605783,3.2369564,5.6316338,-1.4512793,8.1936245,0.085465,0.012156439,0.01235903,2.356021,1.591512,0.19666666,0.050221726,0.35142857,0.42689672,-48.525806
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-01-02-01.wav,0 days,0 days 00:00:03.570229167,23.949066,0.07507559,22.715223,23.189398,25.770948,3.055725,242.7417,295.92227,24.234917,14.800494,0.106168896,1.2963607,0.0030548305,0.018057834,0.2105037,0.20744887,2.4903605,1.2891917,2.466354,1.5137242,0.029259628,1.4558057,13.608724,1.2778112,4.893865,2.46495,10.932597,1.2005087,2.3078885,5.0845265,0.022333222,1.1447152,1.2005416,0.66913444,3.299943,1.1275237,3.5983942,0.88983375,21.922209,0.3905217,544.8228,0.6455657,1165.0685,0.27014166,-138.5583,-0.6441398,1499.7996,0.25231367,882.627,0.3504657,-141.03345,-0.60436344,2501.5703,0.1417054,751.9142,0.42194974,-143.22797,-0.573013,-13.143418,-0.5602489,20.24869,0.38437968,0.07179607,0.37395126,-0.010216289,-1.3929849,0.07550936,0.5959991,29.947098,0.44349408,4.5831094,3.363374,23.515846,0.512315,0.10066946,174.55006,-2.7507174,11.080707,0.07125692,0.009755475,0.008115556,2.247191,1.1396011,0.2725,0.11882234,0.46599996,0.4940283,-49.154453
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,24.26503,0.063494876,23.118805,24.031635,25.64519,2.5263844,217.30844,195.55008,19.374449,9.203443,0.09592465,1.3601466,0.0014550183,0.0061878194,0.21594617,0.21449114,2.073197,1.1087643,1.8971361,1.030288,0.025174238,1.3935802,11.937082,1.6020886,3.2265978,3.0460851,9.014629,1.3869607,1.9276059,5.5522795,0.017601399,0.8106057,1.4729725,0.8151855,3.6746445,0.83229923,4.3318367,0.8100497,22.134087,0.3331377,530.10345,0.54501873,1139.5143,0.2712306,-139.71175,-0.6317469,1500.6515,0.2531739,854.0726,0.32505122,-141.11458,-0.6031642,2495.281,0.12865475,700.21533,0.2701936,-143.22044,-0.57246876,-12.362691,-0.5647232,20.19106,0.39335734,0.07741699,0.27166858,-0.011387028,-0.93308955,0.06420835,0.48379228,32.071663,0.45303768,2.0495973,6.2194796,21.21391,0.48978102,-1.9999356,-7.8569455,-0.36486244,8.035192,0.0944548,0.015823463,0.008804993,2.0057306,1.1627908,0.26749998,0.14788087,0.45599997,0.4873438,-50.379784
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-01-02-02-01.wav,0 days,0 days 00:00:03.370041667,24.39618,0.087990664,22.433584,24.2569,26.340778,3.9071941,252.45833,358.24893,31.001068,12.7097,0.1118999,1.3714474,0.0020964888,0.01069905,0.2473603,0.24526381,3.305627,1.7560422,3.4423985,2.8231747,0.035738334,1.4684829,11.738795,1.6304902,5.9753766,1.7390366,9.842267,1.431481,1.2461214,7.517471,0.030077837,1.0371882,1.4844776,0.7144142,3.3413975,0.9513697,2.259702,1.8650825,20.849901,0.4187175,471.79727,0.47758856,1214.4025,0.20264806,-142.39717,-0.6110216,1446.2687,0.20004812,911.6714,0.30831826,-143.30988,-0.5857293,2475.323,0.107016504,701.47345,0.24343666,-145.42656,-0.5555107,-12.279986,-0.6525242,19.898918,0.45049462,0.079710685,0.3431846,-0.010018907,-1.220213,0.09399192,0.54380065,31.706287,0.44334635,2.6107705,4.5061502,23.32259,0.5261533,-2.661621,-4.9274426,-1.3530309,9.341856,0.074989855,0.012041584,0.011143339,2.3809524,1.5105741,0.19399999,0.124835886,0.444,0.45491096,-48.063854
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-01-01.wav,0 days,0 days 00:00:03.803791667,25.748932,0.06444838,24.561691,25.82392,27.18587,2.624178,84.35888,68.10449,18.403975,20.029028,0.12613392,1.2061259,0.0039576683,0.023556033,0.26269114,0.25873348,3.668557,2.5909486,2.5700822,1.1887918,0.039501805,1.276545,13.169365,1.5221759,6.305844,1.745212,11.985233,1.0659093,3.8944814,3.013004,0.018771436,0.88535196,1.2388418,0.9039147,4.585412,0.7857937,5.130797,1.0151998,26.241465,0.35901132,495.2507,0.46949565,1188.7297,0.2673207,-130.11075,-0.70355356,1475.061,0.19676703,913.07056,0.36467934,-134.13878,-0.6400993,2522.9116,0.13080406,743.08496,0.3568782,-136.46767,-0.60643953,-15.846777,-0.5563535,24.288576,0.3984293,0.076752745,0.3161936,-0.013398336,-0.96171933,0.09178442,0.47044632,33.742943,0.40193704,7.3709598,1.8085324,21.152163,0.71769804,0.10280935,152.9411,-3.373479,11.4756565,0.047887295,0.012399268,0.010442877,2.6385224,1.3368984,0.264,0.14388885,0.385,0.4496943,-46.481525
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-01-02-01.wav,0 days,0 days 00:00:03.703708333,27.72769,0.115930334,25.53325,27.378843,30.615286,5.082035,55.09122,25.59966,20.64672,16.771753,0.18398842,1.4139398,0.0020409361,0.020436583,0.3585334,0.3564925,5.459979,2.8971317,4.843364,2.5865395,0.067868754,1.4793779,10.803141,1.6410718,4.2299633,2.3964453,8.109488,1.3606808,2.9860125,4.2046504,0.037064556,1.9010373,1.4350358,0.6481721,4.4349136,0.8923481,3.2170775,2.2561867,20.997568,0.3037952,534.3869,0.5421475,1247.5897,0.31394494,-131.8185,-0.701602,1540.018,0.20715176,838.7002,0.34134257,-130.68997,-0.6800278,2568.1045,0.13737029,730.18304,0.43155465,-132.7638,-0.6484145,-12.684006,-0.42672417,21.334166,0.27915516,0.0994397,0.2504515,-0.011768724,-0.9910918,0.16995952,0.58729327,29.347363,0.41452143,4.428448,2.9900258,14.980888,0.8569413,3.2565222,5.586981,0.6821218,6.270699,0.09050727,0.014453492,0.008283912,2.1680217,1.0989012,0.33249998,0.2074096,0.444,0.48836872,-41.28228
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-01-01.wav,0 days,0 days 00:00:03.737083333,28.024414,0.09949301,25.215038,27.807829,31.12389,5.9088516,221.86888,258.68127,66.184814,82.9321,0.20211712,1.3094602,0.0024410724,0.022296377,0.44063962,0.43819854,5.8275795,3.7483525,4.352345,3.3365347,0.07448745,1.3701924,12.451843,1.4707228,4.811509,2.023775,9.012605,1.3865683,2.4100022,4.63171,0.041805133,1.8238509,1.3322694,0.7136591,4.6934085,0.6883735,0.11105331,50.87449,20.068521,0.37051207,629.91077,0.48626906,1163.1355,0.24431834,-130.92938,-0.69891846,1651.2908,0.22047973,854.5757,0.26724994,-129.40341,-0.6832997,2663.0642,0.12803835,811.7531,0.53756815,-131.08557,-0.65852547,-11.827239,-0.53494817,19.359457,0.39947882,0.09810795,0.29441947,-0.01062924,-1.0974147,0.17806162,0.52294743,30.157658,0.438191,2.346544,5.0230722,19.717411,0.61891514,1.490866,10.572463,-0.5285028,7.289068,0.08753634,0.01249202,0.011519902,2.1505377,1.0899183,0.345,0.3207413,0.44,0.45882457,-41.502247
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_01\03-01-04-02-02-02-01.wav,0 days,0 days 00:00:03.737062500,28.032852,0.09412224,26.030704,27.853386,30.345825,4.3151207,151.69392,90.3602,82.78319,162.79613,0.23794557,1.2344227,0.002791154,0.033124067,0.5087403,0.50594914,6.596716,3.7842789,4.864612,3.7891533,0.09783462,1.2985923,10.6312275,1.6725878,5.340448,1.6282594,8.481492,1.519316,1.1980592,9.926895,0.020340191,0.8656728,1.1614041,0.5679437,4.231342,0.69997966,2.7633545,2.2173433,19.336527,0.35577342,585.85614,0.5189817,1192.238,0.2511409,-127.10541,-0.7275277,1575.7767,0.23039725,894.1975,0.24654925,-125.57543,-0.7180564,2634.2603,0.12796192,665.2691,0.32948163,-127.17081,-0.6934467,-11.472629,-0.6427339,19.226494,0.46590412,0.09448459,0.31374213,-0.0129623655,-0.92795575,0.21929382,0.5018041,27.856133,0.45258415,3.7797875,2.3011093,16.631342,0.9048656,-2.9286535,-5.4261436,0.7880679,5.91405,0.07533543,0.012167341,0.018532723,2.1505377,0.8174387,0.48666668,0.3091206,0.53499997,0.44522464,-40.1857
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-01-02.wav,0 days,0 days 00:00:03.837166667,36.70359,0.060882114,34.923607,35.613667,39.063618,4.140011,66.62169,86.66797,12.978362,9.210925,0.13970126,1.2591898,0.0010339657,0.032747284,0.2529983,0.25196433,4.0147448,3.0126948,3.3980293,2.0975142,0.037305698,1.6083652,13.178356,1.2829342,0.51809984,18.059206,2.5974243,4.202333,-6.820898,-2.0224633,0.01256253,1.1110905,0.9546859,0.8275668,10.090897,0.4028998,8.077059,1.3682569,21.927816,0.48260427,548.216,0.3927448,1212.7283,0.20247805,-142.46877,-0.6063565,1554.852,0.18796584,837.7341,0.44022006,-135.39044,-0.6278854,2626.4692,0.12480238,853.6664,0.56543624,-138.44202,-0.5835835,-11.904298,-0.70781195,24.034054,0.46116582,0.12410057,0.24653178,-0.0128211435,-0.9691286,0.09005983,0.79578173,29.322315,0.5327837,-1.9986902,-6.595916,2.223522,7.221696,-16.89155,-0.9279887,-3.7525687,11.301656,0.108076826,0.011857337,0.013607214,2.094241,1.32626,0.25399998,0.14051335,0.39166668,0.47358263,-46.50698
C:\Users\Danson\Documents\GitHub\CZ4042-assignment-grouped\input\Actor_02\03-01-04-01-01-02-02.wav,0 days,0 days 00:00:03.770437500,37.009396,0.05833565,35.26735,36.42892,38.748283,3.4809341,108.948395,75.47805,167.8533,309.47986,0.15035129,1.3347881,0.0010339657,0.0351147,0.26159403,0.26056007,4.216094,2.8691893,3.6331851,2.1664844,0.049394418,1.8043674,12.661693,1.350015,-0.1849536,-60.751892,2.6723018,3.7028856,-6.9296427,-2.1273565,0.021642016,2.3235948,1.1084075,0.9153158,9.015947,0.44746292,8.272379,1.4149334,22.301365,0.5090405,604.0887,0.41873422,1211.1398,0.22319977,-143.368,-0.6020904,1589.9937,0.20443243,889.80536,0.44875455,-135.09702,-0.63438123,2666.0208,0.14381577,884.0489,0.54380417,-138.28697,-0.5877647,-11.53726,-0.7339235,23.22369,0.46064022,0.12111213,0.24260892,-0.011962535,-1.1070081,0.12106544,0.96238506,28.846685,0.517877,-4.512777,-3.3561375,2.266254,6.291786,-18.864868,-0.90972376,-2.9635391,9.85934,0.10178121,0.012816867,0.015568558,1.8617021,1.6172508,0.21166666,0.09805044,0.32999998,0.44477925,-45.11642
